period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
2024-01,31,7,24,0.22580645161290322,-0.34041062455330184,1.1834225919474444,0.5917112108710127,-2.1155444273717587,-2.1155444273717587,17.884455572628205,17.88445557262824,17.884455572628205,3.7427669143728934,0.17908421109704875
2024-02,18,11,7,0.6111111111111112,5.268871834729037,0.7294998313829415,0.36475123290939576,4.174620770436699,2.0590763430649406,22.05907634306491,22.05907634306494,22.05907634306491,0.9636603754539586,0.046014807245750834
2024-03,48,11,37,0.22916666666666666,-0.4216916895780759,1.9772041050298417,0.9886019470918861,-3.3874977416998036,-1.328421398634863,-2.4513724383723456e-13,18.67157860136514,18.970964751569916,4.489992998152946,0.19699367791759753
2024-04,33,7,26,0.21212121212121213,-0.6576596532973393,1.1541672702017902,0.5770834706859247,-2.3889103941850545,-3.7173317928199174,-3.197442310920451e-13,16.28266820718008,16.226569452681368,2.800435300623473,0.14771346388779752
2024-05,27,9,18,0.3333333333333333,1.6583070320589337,0.9125780884928478,0.45628945882313565,0.2894394847429501,-3.4278923080769674,16.57210769192301,16.572107691923023,16.57210769192301,1.5053917272610633,0.08327433415174239
2024-06,19,5,14,0.2631578947368421,0.28159085705095854,0.6253121592454904,0.31265615002041774,-0.6563774522149495,-4.084269760291917,15.91573023970805,15.915730239708072,15.91573023970805,2.0463549140299815,0.11696805001950152
2024-07,33,9,24,0.2727272727272727,0.6559469589273176,1.032024747682894,0.5160125378281292,-0.8920903265837058,-4.976360086875623,15.023639913124335,15.023639913124367,15.023639913124335,1.7379304541687617,0.10368541944971879
2024-08,36,8,28,0.2222222222222222,-0.4145828095450736,0.9879483013373522,0.4939740470229253,-1.8965051579053513,-6.872865244780974,-5.186961971048731e-13,13.127134755219014,13.052355129617892,2.324353128952655,0.15242620768760687
2024-09,30,7,23,0.23333333333333334,-0.13943156662738715,0.7339115317520769,0.3669557310181079,-1.240298829397572,-8.113164074178545,11.886835925821403,11.886835925821444,11.886835925821403,1.848012851047999,0.13901173840640094
2024-10,28,9,19,0.32142857142857145,1.040105198912301,0.653129187907932,0.32656485398022744,0.06041115702414149,-8.052752917154404,11.94724708284555,11.947247082845582,11.94724708284555,0.9372552983662956,0.07849747447390225
2024-11,37,11,26,0.2972972972972973,0.9504123532982689,0.8586907968341545,0.4293456360201165,-0.33762407955600204,-8.390376996710406,-6.501466032204917e-13,11.609623003289586,11.531584216959054,1.105651585193872,0.09016310786575488
2024-12,37,8,29,0.21621621621621623,-0.38204517196064813,0.8066732925408419,0.40333655075908076,-1.5920550152605708,-9.982432011970978,10.017567988028992,10.017567988029011,10.017567988028992,1.920851189888527,0.16508508325201549
