investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
01_time_of_day,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
01_time_of_day,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
01_time_of_day,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
01_time_of_day,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
01_time_of_day,00-04,12h,forward_return,17520,0.0015190744081216962,-0.024116018008824545,-0.007043560655454695,0.0010371802358658533,0.009557138572787949,0.03111766131321739
01_time_of_day,00-04,12h,mfe,17520,0.012827043213255193,0.0007537424161895846,0.004192670921767394,0.009216373184310234,0.017365869192085215,0.03809049776387145
01_time_of_day,00-04,12h,mae,17520,0.012148302862178509,0.0006139259737744263,0.003619196917563905,0.00831140514537726,0.015807651126286265,0.03553101614619398
01_time_of_day,00-04,12h,future_vol,17520,0.0249753460754337,0.008246604084336615,0.014956063259569104,0.021103337986174704,0.030414695485471707,0.05495055976847778
01_time_of_day,04-08,12h,forward_return,17567,0.0015344472775077906,-0.029938123382641554,-0.009470065810506356,0.0003990839833161175,0.0114464089617895,0.03676856594042477
01_time_of_day,04-08,12h,mfe,17567,0.015348667510902698,0.0009242455980070342,0.004935985527158238,0.011045260505425869,0.020458968665339916,0.04628170365334094
01_time_of_day,04-08,12h,mae,17567,0.014242979323812752,0.0006356103144226632,0.004417354279296903,0.010452048483295284,0.020039444082994906,0.0408411954890922
01_time_of_day,04-08,12h,future_vol,17567,0.029591646834715452,0.008625638183960343,0.01763911784139359,0.02625320371126539,0.03803644566236189,0.05971712846383249
01_time_of_day,08-12,12h,forward_return,17568,0.0010702979144344225,-0.03518702195091336,-0.009626457582047693,0.0010095919397112851,0.010642111325969816,0.03610679046744034
01_time_of_day,08-12,12h,mfe,17568,0.016325936073361202,0.0012147862454274128,0.005587835233420324,0.011379153957095434,0.02253339619230077,0.04850249274635205
01_time_of_day,08-12,12h,mae,17568,0.016210295807855192,0.0008802407802262991,0.004884795531584607,0.011304986104078596,0.021590926636890523,0.04804000764711391
01_time_of_day,08-12,12h,future_vol,17568,0.0325362318812164,0.009781984588151516,0.0187253292928319,0.028165706923534005,0.041298015077445765,0.0692136427845519
01_time_of_day,12-16,12h,forward_return,17520,0.0010494501778580449,-0.032571612137561365,-0.008828483122828773,0.0008303853215062551,0.01073227417363476,0.03506486458028208
01_time_of_day,12-16,12h,mfe,17520,0.015891759462587713,0.0008523908787284153,0.005050690109556277,0.011124515757382603,0.021886831278259022,0.04564361766257792
01_time_of_day,12-16,12h,mae,17520,0.016140813684712253,0.0008694026158655222,0.004477838647699878,0.010876733464524835,0.021485120154867143,0.04700401975788273
01_time_of_day,12-16,12h,future_vol,17520,0.03203257314729996,0.010286603445010223,0.01859711247006169,0.027805295047629013,0.03990671379639842,0.0673464930222602
01_time_of_day,16-20,12h,forward_return,17520,0.001004376252100785,-0.027044869886352473,-0.0068326302403517725,0.0009755985728925332,0.00914546964414159,0.02751549884763975
01_time_of_day,16-20,12h,mfe,17520,0.013379736943251846,0.0008840814023902912,0.004612720163661432,0.009573617170438031,0.017727586349875202,0.039002369692542095
01_time_of_day,16-20,12h,mae,17520,0.014055607534914003,0.000728159939754719,0.004211622217176192,0.009187390409404972,0.01843306305522774,0.041840771056863124
01_time_of_day,16-20,12h,future_vol,17520,0.02743534447816585,0.009537569215795514,0.016238741033216687,0.02295550867377675,0.032357410659702476,0.0602579669431401
01_time_of_day,20-24,12h,forward_return,17520,0.0014561258743824134,-0.02221145935088074,-0.006216742035170891,0.0013122999908130595,0.009588125911280942,0.02871815595556191
01_time_of_day,20-24,12h,mfe,17520,0.012403408715465226,0.0007725381275385247,0.004178265928276914,0.009131321301757311,0.01637215962197447,0.036937615370422214
01_time_of_day,20-24,12h,mae,17520,0.012258500916487086,0.0006355785362873289,0.0037239038542763447,0.008073825605005636,0.01600347119400697,0.03521493485464094
01_time_of_day,20-24,12h,future_vol,17520,0.024661909631952313,0.008408738992216145,0.01495907223628027,0.020376062023632104,0.02944101577520171,0.05364424736315083
