investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
02_day_of_week,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
02_day_of_week,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
02_day_of_week,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
02_day_of_week,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
02_day_of_week,Monday,12h,forward_return,15215,0.004193669139986929,-0.029333034635266632,-0.010245020459811904,0.0014667816671101175,0.01569507796099401,0.04744596847568326
02_day_of_week,Monday,12h,mfe,15215,0.018775475950099128,0.0008059962214997718,0.005442873726504871,0.013051945353571348,0.02552267041009404,0.057111160665680546
02_day_of_week,Monday,12h,mae,15215,0.015067677804195946,0.0007226571920865845,0.0050257243702025445,0.011350125768443409,0.020463124181703818,0.04231248342871413
02_day_of_week,Monday,12h,future_vol,15215,0.03384315375429507,0.01443968399967032,0.020456660032657205,0.02902651337400283,0.04172364900514683,0.06725526406384427
02_day_of_week,Tuesday,12h,forward_return,15120,-0.0007549812060358335,-0.03138662375505836,-0.01142909520476515,-0.00022147945826711535,0.009607702604092438,0.028751399138240253
02_day_of_week,Tuesday,12h,mfe,15120,0.014487698427847813,0.0009228799575439428,0.005266766373433818,0.011037064296460009,0.019603744864083672,0.03932364106846033
02_day_of_week,Tuesday,12h,mae,15120,0.017542767590717937,0.0011219536910418995,0.0065468467584211265,0.012764999732837012,0.02388328762695696,0.04711899286774044
02_day_of_week,Tuesday,12h,future_vol,15120,0.03203046601856575,0.01411521217370703,0.02047174046371887,0.02779361679832344,0.03879999451171679,0.06599154909869914
02_day_of_week,Wednesday,12h,forward_return,14976,0.002374285595766896,-0.03255750840558677,-0.00998187645466067,0.0009608700388561431,0.012511019646323285,0.041151665987999464
02_day_of_week,Wednesday,12h,mfe,14976,0.01727034778657663,0.0009097923985662004,0.005106282831010611,0.011541285927398892,0.02278655551963904,0.0538320147713493
02_day_of_week,Wednesday,12h,mae,14976,0.015680866955037006,0.0009824024502278206,0.005607778889842041,0.01173328398169543,0.021381953990287195,0.042584504827196695
02_day_of_week,Wednesday,12h,future_vol,14976,0.03295121474161363,0.013453556418101467,0.019384028813840295,0.026862394787442012,0.041586570981757505,0.06775964008823773
02_day_of_week,Thursday,12h,forward_return,14976,-0.0003729157312625488,-0.03202941183848526,-0.01013073556882954,0.0002627758313010764,0.011034400680885015,0.02793909852253973
02_day_of_week,Thursday,12h,mfe,14976,0.014926990352954488,0.0012642135322444847,0.00616845421454798,0.011603139919807881,0.020294215655493997,0.0389567896381291
02_day_of_week,Thursday,12h,mae,14976,0.01634351515875675,0.0009613047891451065,0.005162385585897461,0.011211159034610452,0.020975451286521757,0.04989194321354454
02_day_of_week,Thursday,12h,future_vol,14976,0.03127050551171124,0.013095230890055359,0.019710654206921568,0.02691359017658899,0.036949849812059635,0.06694679730342079
02_day_of_week,Friday,12h,forward_return,14976,0.001825267439135416,-0.032486906946890215,-0.006058105844545941,0.0019330372085306635,0.010851350885019595,0.03438627509614972
02_day_of_week,Friday,12h,mfe,14976,0.014895936419218823,0.001100661778970169,0.0053065677437631464,0.011239373814237008,0.020031055573131507,0.04213821601162099
02_day_of_week,Friday,12h,mae,14976,0.014307507607441209,0.0006228709808371313,0.004021479169224157,0.009233079448660253,0.018659443339215626,0.04842333482782557
02_day_of_week,Friday,12h,future_vol,14976,0.029203444026660034,0.009802597126507759,0.016816948587374085,0.024486503870552213,0.03807955650205425,0.061491451026607954
02_day_of_week,Saturday,12h,forward_return,14976,0.0008553492581160965,-0.014786878164450845,-0.002961633842391731,0.0008528240754523964,0.0052263787346129575,0.017047601266701018
02_day_of_week,Saturday,12h,mfe,14976,0.008303329036715972,0.0006586596392875177,0.00311572040299829,0.006028484660360545,0.01099557565971615,0.02383257736012029
02_day_of_week,Saturday,12h,mae,14976,0.00796284674576401,0.0004899030464821652,0.0023709753562913827,0.005014890929287974,0.00922288619855327,0.02378663476037718
02_day_of_week,Saturday,12h,future_vol,14976,0.016266175782479984,0.005220464595985229,0.009020079346724877,0.013035090306167396,0.019250842813099706,0.03600461695480374
02_day_of_week,Sunday,12h,forward_return,14976,0.0007584392500413285,-0.02359524599042276,-0.006384327645809762,0.0013508895580600644,0.009307931173486883,0.025333667763094814
02_day_of_week,Sunday,12h,mfe,14976,0.01181729565082889,0.0007889466550728974,0.004374065428912222,0.00928413838890152,0.015601260352331559,0.0327160361490067
02_day_of_week,Sunday,12h,mae,14976,0.012287530676523687,0.0005788372604274006,0.0034270808548535203,0.007919516553845651,0.016343958989395974,0.03157822197679103
02_day_of_week,Sunday,12h,future_vol,14976,0.02410482632735258,0.008536222641250018,0.014883843118109506,0.020270026486248788,0.029310213240677004,0.049115966963502455
