investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
03_trend_regime,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
03_trend_regime,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
03_trend_regime,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
03_trend_regime,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
03_trend_regime,EMA20>EMA50,12h,forward_return,55978,0.001200094270100142,-0.02976193340893592,-0.008166236410812905,0.0006711524701551452,0.010428685936465287,0.03436431076177217
03_trend_regime,EMA20>EMA50,12h,mfe,55978,0.014640911204626895,0.000792689905325894,0.004595568556738483,0.010392084228424525,0.019904661258213885,0.04369828898054485
03_trend_regime,EMA20>EMA50,12h,mae,55978,0.014067196342790618,0.0007600742839870168,0.004142952115743059,0.009262269579186133,0.018470970538515763,0.04251060553581185
03_trend_regime,EMA20>EMA50,12h,future_vol,55978,0.028708107547417507,0.008755929871929921,0.016871244774294206,0.024389803345307867,0.03608977038651253,0.06158626134426279
03_trend_regime,EMA20<=EMA50,12h,forward_return,49237,0.0013544346738316355,-0.027448195068519275,-0.007657138107795447,0.001236189157481915,0.00988772789452308,0.03143572769748605
03_trend_regime,EMA20<=EMA50,12h,mfe,49237,0.014049379420145901,0.001002413624574139,0.00484766697224015,0.010053142732663112,0.018466683910091763,0.04132244899732694
03_trend_regime,EMA20<=EMA50,12h,mae,49237,0.014301924967547959,0.0006831799283425036,0.0042260016840842685,0.009869894354915143,0.01914720539211545,0.0426430145184284
03_trend_regime,EMA20<=EMA50,12h,future_vol,49237,0.02835130438769386,0.008997110457692232,0.016452549690532232,0.023636445058413863,0.034913587738223645,0.06180066552669221
03_trend_regime,spread_Q1,12h,forward_return,26262,0.0016634331091314198,-0.029053431699290082,-0.008557403960819998,0.0019008501015126411,0.011258843079741288,0.0333493370889641
03_trend_regime,spread_Q1,12h,mfe,26262,0.015522777372070267,0.0012435192267002296,0.0057485398063116255,0.01134517591269868,0.02077054380454374,0.044651518763048285
03_trend_regime,spread_Q1,12h,mae,26262,0.016240277771238272,0.0008476349777666814,0.005184326836911474,0.011416136718856884,0.02109223676109237,0.04789646030533083
03_trend_regime,spread_Q1,12h,future_vol,26262,0.03176305514330854,0.012097739055640358,0.01888673878636633,0.026582091677581847,0.03871865789202989,0.06747127922241745
03_trend_regime,spread_Q2,12h,forward_return,26333,0.000934924268329242,-0.025023414617775262,-0.006585926764494432,0.0006727479385959523,0.00805465718758569,0.029073556611466444
03_trend_regime,spread_Q2,12h,mfe,26333,0.012276987706413086,0.0008061136805559866,0.003993714704221718,0.008528432239456984,0.015973620334068572,0.0379916531308344
03_trend_regime,spread_Q2,12h,mae,26333,0.012043073578499973,0.000552339239944466,0.003436748898269615,0.007909508229741014,0.016296691736341296,0.0363795422785919
03_trend_regime,spread_Q2,12h,future_vol,26333,0.024320061284913055,0.007577025232774427,0.013618420666363483,0.02038612255784469,0.030351279464367557,0.05366283399344427
03_trend_regime,spread_Q3,12h,forward_return,26334,0.000860645398785433,-0.02880752801560612,-0.007357402495877408,0.0005854257831533483,0.009407342292103382,0.03293728934314721
03_trend_regime,spread_Q3,12h,mfe,26334,0.01339972298813083,0.0007212129424712277,0.004074042440911418,0.009299672543644721,0.017682357540725058,0.04079046231252298
03_trend_regime,spread_Q3,12h,mae,26334,0.013244913043757748,0.000622403492069612,0.0035165108182451665,0.008047840921993954,0.01705014070192762,0.04151669343557001
03_trend_regime,spread_Q3,12h,future_vol,26334,0.026644636031888578,0.007774259084893266,0.01450561717427277,0.021902996046853463,0.03416715098923444,0.059184074523199424
03_trend_regime,spread_Q4,12h,forward_return,26286,0.0016319904164032225,-0.03157575411255367,-0.008966741237127679,0.000892330037266964,0.012123333978921458,0.03614291679798365
03_trend_regime,spread_Q4,12h,mfe,26286,0.016263441380758033,0.0008908669497740274,0.005432732385894257,0.011908545062849885,0.022482114506079454,0.04667144813762253
03_trend_regime,spread_Q4,12h,mae,26286,0.015187302177534664,0.0010349556831580897,0.005120990552445026,0.010703244934281209,0.019993963559173572,0.04456581397075643
03_trend_regime,spread_Q4,12h,future_vol,26286,0.0314507435582927,0.012292181699506195,0.019266993489272084,0.026908340204845258,0.039264029593349785,0.06532293903252696
