investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
04_volatility_regime,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
04_volatility_regime,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
04_volatility_regime,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
04_volatility_regime,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
04_volatility_regime,range12_Q1,12h,forward_return,26337,0.0010521041851947704,-0.022698608047838763,-0.005277661441857928,0.0006028549157026664,0.0074724188795369795,0.02624092718766246
04_volatility_regime,range12_Q1,12h,mfe,26337,0.010922847505453422,0.00065507499736861,0.003489364278322249,0.007474289295388292,0.014161221904801069,0.033963661384593946
04_volatility_regime,range12_Q1,12h,mae,26337,0.010088642075391322,0.0004851666300044633,0.0028121727172408795,0.006394275654093895,0.013166371498083751,0.031049545435627435
04_volatility_regime,range12_Q1,12h,future_vol,26337,0.02101148958084474,0.006129396753517748,0.011468397117408049,0.017523863751586686,0.027187181258842473,0.04834615397879165
04_volatility_regime,range12_Q2,12h,forward_return,26295,0.0007401528267433569,-0.028014039558608494,-0.008486515668755079,0.0007269734423438479,0.009464804379496372,0.031240349929386842
04_volatility_regime,range12_Q2,12h,mfe,26295,0.013590365561899569,0.0008566918324381945,0.004713246493429302,0.009922450105275038,0.018094537365125674,0.03960561278159895
04_volatility_regime,range12_Q2,12h,mae,26295,0.013424255986437537,0.0006999236477027937,0.004204834951715475,0.009381266112861608,0.017975354476732097,0.0385126705858248
04_volatility_regime,range12_Q2,12h,future_vol,26295,0.027014621548337107,0.009962576480839721,0.01677446308341817,0.023109807036414076,0.03302118244562027,0.056117092537886826
04_volatility_regime,range12_Q3,12h,forward_return,26297,0.0011918612568584484,-0.030993379625817715,-0.009037126911375148,0.001034891375905067,0.010972773417697423,0.034385939794240344
04_volatility_regime,range12_Q3,12h,mfe,26297,0.015049606160083488,0.0009906825420301858,0.00522975592218522,0.010950957672015926,0.020291114557473344,0.043237972491160834
04_volatility_regime,range12_Q3,12h,mae,26297,0.01507534728058689,0.0009098667563315346,0.00489746541530911,0.010494514231197294,0.01959734272199387,0.045238266105368255
04_volatility_regime,range12_Q3,12h,future_vol,26297,0.030124953440670375,0.011612946574917696,0.018317334264188256,0.025340674914073037,0.03733138931755025,0.06257083337399708
04_volatility_regime,range12_Q4,12h,forward_return,26286,0.0021058059465424994,-0.03251411497275106,-0.009179811425738676,0.0019481098990866696,0.013562110987286158,0.03838275031356142
04_volatility_regime,range12_Q4,12h,mfe,26286,0.017900214240635193,0.0012284851756438342,0.006348928984774738,0.01326786629524579,0.024463604671058736,0.05127083044709446
04_volatility_regime,range12_Q4,12h,mae,26286,0.018127733834107217,0.0010511021132382226,0.005933422162964358,0.01259994494125366,0.024007683237564248,0.05080732219567499
04_volatility_regime,range12_Q4,12h,future_vol,26286,0.03602794807474241,0.014050006680443042,0.02154239463451521,0.030490280749134537,0.043943060743726,0.07450826975159922
04_volatility_regime,range24_Q1,12h,forward_return,26335,0.0008250601258397877,-0.022999480394128913,-0.0051312728947805475,0.0005719967651602875,0.007226730351448496,0.025426476809361824
04_volatility_regime,range24_Q1,12h,mfe,26335,0.010759427230122388,0.0006311108447727865,0.0034209756962518822,0.007453970221035,0.013938723017230648,0.03376173470288113
04_volatility_regime,range24_Q1,12h,mae,26335,0.010256848272115286,0.0004963679558353197,0.002856278327825479,0.006429938309886807,0.01306112998321124,0.03175128551097091
04_volatility_regime,range24_Q1,12h,future_vol,26335,0.021016275502237673,0.0061231387963214725,0.011363563324484897,0.01738101400824344,0.027189695100757402,0.04947652954612388
04_volatility_regime,range24_Q2,12h,forward_return,26297,0.0012061751077029244,-0.02758884559787067,-0.008321240077257097,0.0008239959653959517,0.00984329329871958,0.032690772137600986
04_volatility_regime,range24_Q2,12h,mfe,26297,0.013975050404555708,0.0009184997452442724,0.004785343688059163,0.010116931311284771,0.018595679004680843,0.04067406958301638
04_volatility_regime,range24_Q2,12h,mae,26297,0.01324146836935461,0.0007196765166067821,0.004095034251195284,0.009561902037268366,0.01785715612260319,0.037725738644821774
04_volatility_regime,range24_Q2,12h,future_vol,26297,0.02721651877391032,0.010002808276077434,0.016898774412381246,0.023452816386247216,0.033595540499971044,0.0564700736682411
04_volatility_regime,range24_Q3,12h,forward_return,26318,0.0008243867233079454,-0.03196959878347569,-0.009572322473960504,0.0007458412516782031,0.010928329265646797,0.03392903000439127
04_volatility_regime,range24_Q3,12h,mfe,26318,0.014886816955599042,0.0009550007507260317,0.00507152366332686,0.010957500626026517,0.020185194372557447,0.04264639595581412
04_volatility_regime,range24_Q3,12h,mae,26318,0.015412785876929484,0.0008401997454579702,0.004944188303809716,0.010815384437305675,0.019992978088680474,0.04724071552194489
04_volatility_regime,range24_Q3,12h,future_vol,26318,0.030299602832528527,0.011867500016406523,0.018416885740259535,0.025303903334813874,0.03805993810486483,0.06249636918480456
04_volatility_regime,range24_Q4,12h,forward_return,26265,0.0022358356018214688,-0.03199151211706071,-0.008620403825234768,0.0021319016622589615,0.013367929666463052,0.038134336532882916
04_volatility_regime,range24_Q4,12h,mfe,26265,0.01784411028711205,0.0012550410714820437,0.0064597062434155195,0.013209566096267444,0.02428659476117101,0.05137880115158432
04_volatility_regime,range24_Q4,12h,mae,26265,0.017806156666277842,0.0010615857594322708,0.005777864077669892,0.012173613773927783,0.02376510295560874,0.0495445299442192
04_volatility_regime,range24_Q4,12h,future_vol,26265,0.035650266953389895,0.013972153714641122,0.021344957474731887,0.03015213233210545,0.0432659366193339,0.07459539445750957
