investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
05_momentum_persistence,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
05_momentum_persistence,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
05_momentum_persistence,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
05_momentum_persistence,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
05_momentum_persistence,ret3_Q1,12h,forward_return,26291,0.0016048795878411306,-0.030654630675679972,-0.008580451241566645,0.0014265701611020365,0.01160361182484837,0.03525944658234825
05_momentum_persistence,ret3_Q1,12h,mfe,26291,0.01571564337361164,0.0011046286030095276,0.005423887276749362,0.011413134880591924,0.021024660466261613,0.0453180813868328
05_momentum_persistence,ret3_Q1,12h,mae,26291,0.015867085880901143,0.0008034502033297253,0.004819264271509138,0.010780501840545464,0.020982924014973092,0.0468456194249931
05_momentum_persistence,ret3_Q1,12h,future_vol,26291,0.03158272925451278,0.011345335357689806,0.018522986487345773,0.026668453520227467,0.03914051600006238,0.06685601331379981
05_momentum_persistence,ret3_Q2,12h,forward_return,26312,0.0011178547886367485,-0.02644431461985713,-0.0070046339122679935,0.0009064877391942172,0.00896846887012459,0.030239596680577817
05_momentum_persistence,ret3_Q2,12h,mfe,26312,0.012960630663112841,0.0008133884183468832,0.004276320015136337,0.009161205267104067,0.016923641768286313,0.03890265011174294
05_momentum_persistence,ret3_Q2,12h,mae,26312,0.012498395451032585,0.0005946453555777498,0.0036025492026590666,0.00823460178448654,0.016599426386068733,0.03794736339168003
05_momentum_persistence,ret3_Q2,12h,future_vol,26312,0.02545902611414543,0.00782332370953503,0.014581236726834153,0.021445584222768956,0.03201091921932432,0.055247138561591094
05_momentum_persistence,ret3_Q3,12h,forward_return,26315,0.0008796700728232206,-0.02729196150703935,-0.007242872530282107,0.0006679322224565354,0.008872079371516017,0.03077934524257741
05_momentum_persistence,ret3_Q3,12h,mfe,26315,0.012996896991531979,0.0007520717138693956,0.004166661795462323,0.009130386508375388,0.017004774341885076,0.03912402711723342
05_momentum_persistence,ret3_Q3,12h,mae,26315,0.012785658274154111,0.0006495200879606534,0.003719384168809625,0.008405464660929951,0.016809471619892824,0.03887931067778683
05_momentum_persistence,ret3_Q3,12h,future_vol,26315,0.02578255526568609,0.007913072758925208,0.014667303159757051,0.021695859872611464,0.032198530727562645,0.05664407760987714
05_momentum_persistence,ret3_Q4,12h,forward_return,26297,0.001487309376667668,-0.030285761764357155,-0.008882531953327888,0.0009729164553602399,0.011549786475616886,0.03547927319222675
05_momentum_persistence,ret3_Q4,12h,mfe,26297,0.01578525244882364,0.0008984586252722696,0.0052519204983751955,0.011409425957480845,0.021645126612288346,0.045811650649615024
05_momentum_persistence,ret3_Q4,12h,mae,26297,0.015559320949811203,0.0008946178000661221,0.004915685145321813,0.010873675303562647,0.020614079403824315,0.04558974960051435
05_momentum_persistence,ret3_Q4,12h,future_vol,26297,0.03134457339863484,0.011367925271704193,0.01876835938079267,0.026657014749909027,0.039027899235521454,0.06619761035647154
05_momentum_persistence,ret3_positive,12h,forward_return,53093,0.0011847114626350479,-0.028737897570272296,-0.00806072549024106,0.0007710657210353578,0.01008559704169687,0.03336603221768656
05_momentum_persistence,ret3_positive,12h,mfe,53093,0.014373316699558701,0.00082495181311808,0.004653799016368199,0.010192029624404908,0.019331606402607893,0.04266871032454501
05_momentum_persistence,ret3_positive,12h,mae,53093,0.014146847878370936,0.0007578852429826374,0.004216552864990564,0.009567830192787508,0.01870912066656749,0.0423465913314299
05_momentum_persistence,ret3_positive,12h,future_vol,53093,0.028520164577929632,0.008899526244200422,0.016750701021852943,0.024053802452721814,0.035461679204300586,0.061642115890961635
05_momentum_persistence,ret3_negative,12h,forward_return,52057,0.0013629157085410664,-0.028449200322797276,-0.007788039707044003,0.0011354575790685217,0.010216932902214815,0.03289001299249413
05_momentum_persistence,ret3_negative,12h,mfe,52057,0.014359294388308593,0.0009589072413353162,0.004791446171712899,0.010287313390072939,0.01902700643094657,0.04242920893089783
05_momentum_persistence,ret3_negative,12h,mae,52057,0.014210747257144718,0.0006858342496128158,0.004143660605884558,0.009538754537136374,0.018905068433222927,0.04292249088962306
05_momentum_persistence,ret3_negative,12h,future_vol,52057,0.02857004164545331,0.00889691761082428,0.016718066799723298,0.02396981845939284,0.03551507269261936,0.06177590592701068
05_momentum_persistence,ret6_Q1,12h,forward_return,26288,0.0015897515186661948,-0.031155587352948506,-0.008647573668254444,0.0015629885996175652,0.0115962924777685,0.035462951067284684
05_momentum_persistence,ret6_Q1,12h,mfe,26288,0.015737905831653146,0.0011683259451545913,0.005456140178628832,0.011417061313788057,0.021030470194776163,0.04529013147927884
