investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
05_momentum_persistence,ALL,full,15m,105356,2.6604732987983238e-05,2.1557563012919445e-05,0.0011603567363716039,0.0011700056227077482,0.0028359686191275196,0.06434374881354646,0.010013667944872622,0.0008352632977713657,0.009833327005581078,0.01272827366262956,0.9774383993317893,10.0,10.0,15.0,0.0,0.0
05_momentum_persistence,ALL,full,30m,105353,5.308943175311667e-05,3.548954545684602e-05,0.00171414595475472,0.00170444169709294,0.004114255953880956,0.13407306863591925,0.028333317513502227,0.0030943589646236936,0.027820754985619773,0.03326910481903695,0.9389101401953432,20.0,20.0,25.0,0.0,0.0
05_momentum_persistence,ALL,full,1h,105347,0.00010614989178753659,8.094419309090384e-05,0.0024871751319268665,0.0024545105677501455,0.005964558244337473,0.2402726228558953,0.06781398616002354,0.011220063219645552,0.06621925636230742,0.07424985998652074,0.8595308836511718,30.0,35.0,45.0,0.0,0.0
05_momentum_persistence,ALL,full,2h,105335,0.00021194924661925829,0.00021614316602058814,0.003640567382546145,0.0035448860238828095,0.008650291437303961,0.37930412493473203,0.139649689087198,0.03102482555655765,0.13398205724592965,0.14237432952010254,0.7236436132339679,45.0,65.0,75.0,0.0,0.0
05_momentum_persistence,ALL,full,4h,105311,0.0004229280200326158,0.0003510923329543836,0.005373682096315058,0.005147606171464925,0.012780234886292348,0.5265546808975321,0.25729505939550473,0.07657319748174454,0.2403167760252965,0.24153222360437182,0.5181510003703317,70.0,115.0,145.0,0.0,0.0
05_momentum_persistence,ALL,full,12h,105215,0.001272320268850582,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.024008709923462837,0.7355795276338926,0.5093380221451314,0.2368673668203203,0.42416005322435013,0.402528156631659,0.17331179014399087,115.0,240.0,355.0,0.0,0.0
05_momentum_persistence,ALL,thinned144,15m,731,0.00010122006236362018,4.7368333795150264e-05,0.0012328879770018286,0.001187429742141588,0.0028517105425532076,0.06976744186046512,0.006839945280437756,0.0013679890560875513,0.006839945280437756,0.006839945280437756,0.9863201094391245,15.0,15.0,15.0,2.581077078223082e-05,-0.002993381725143322
05_momentum_persistence,ALL,thinned144,30m,731,0.0001270071933606956,-2.918059710255161e-05,0.0018956764101440982,0.0018855059109763594,0.0043555499133529334,0.1491108071135431,0.036935704514363885,0.005471956224350205,0.036935704514363885,0.030095759233926128,0.93296853625171,20.0,25.0,30.0,-6.467014255939763e-05,0.009114949528744112
05_momentum_persistence,ALL,thinned144,1h,731,-5.9535390112530724e-05,-0.00013415734867272544,0.0027272572995560296,0.002709521598471598,0.006145307303855177,0.2448700410396717,0.057455540355677154,0.012311901504787962,0.0560875512995896,0.06566347469220246,0.8782489740082079,30.0,30.0,35.0,-0.00021510154176362928,-0.010131705062717822
05_momentum_persistence,ALL,thinned144,2h,731,-0.00018282090958432823,-5.905802450911768e-05,0.00412911155331841,0.0044873894529969816,0.010072489635238786,0.4213406292749658,0.14227086183310533,0.027359781121751026,0.13953488372093023,0.16552667578659372,0.6949384404924761,50.0,75.0,85.0,-0.0002752011905297058,0.005552826475000577
