investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
06_mean_reversion,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
06_mean_reversion,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
06_mean_reversion,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
06_mean_reversion,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
06_mean_reversion,ret3_Q1,12h,forward_return,26291,0.0016048795878411306,-0.030654630675679972,-0.008580451241566645,0.0014265701611020365,0.01160361182484837,0.03525944658234825
06_mean_reversion,ret3_Q1,12h,mfe,26291,0.01571564337361164,0.0011046286030095276,0.005423887276749362,0.011413134880591924,0.021024660466261613,0.0453180813868328
06_mean_reversion,ret3_Q1,12h,mae,26291,0.015867085880901143,0.0008034502033297253,0.004819264271509138,0.010780501840545464,0.020982924014973092,0.0468456194249931
06_mean_reversion,ret3_Q1,12h,future_vol,26291,0.03158272925451278,0.011345335357689806,0.018522986487345773,0.026668453520227467,0.03914051600006238,0.06685601331379981
06_mean_reversion,ret3_Q1_bull,12h,forward_return,12781,0.0012661050025958174,-0.032088871352424,-0.009079125605755745,0.0008196802194586628,0.011528152393796232,0.03590969421319112
06_mean_reversion,ret3_Q1_bull,12h,mfe,12781,0.015560746641748764,0.0009761071428204815,0.004885546236854443,0.01119675470438164,0.020994113169735318,0.045539595218690554
06_mean_reversion,ret3_Q1_bull,12h,mae,12781,0.015476163425929888,0.0008365313072712377,0.0047441795631469885,0.010429752383035451,0.020929573018013237,0.0455140973033058
06_mean_reversion,ret3_Q1_bull,12h,future_vol,12781,0.03103691006767866,0.011226837386067428,0.01834970891526,0.02644258399065218,0.03878985310529967,0.06556151948005982
06_mean_reversion,ret3_Q1_bear,12h,forward_return,13510,0.0019253738864362711,-0.029402879930781587,-0.008152300683366337,0.0020008736756369494,0.011696108565229846,0.034282106225273196
06_mean_reversion,ret3_Q1_bear,12h,mfe,13510,0.01586218187323706,0.0012705412502888036,0.005870834343779885,0.011620323551314482,0.021035429449759335,0.045175441330143874
06_mean_reversion,ret3_Q1_bear,12h,mae,13510,0.01623691414862783,0.0007924927130274985,0.004898983925914258,0.011092271116528052,0.02103242840172098,0.048027312619201026
06_mean_reversion,ret3_Q1_bear,12h,future_vol,13510,0.032099096021864885,0.011408839754819013,0.01877967277985446,0.026869014109556173,0.0393147165719446,0.06841408735391791
06_mean_reversion,ret3_Q2,12h,forward_return,26312,0.0011178547886367485,-0.02644431461985713,-0.0070046339122679935,0.0009064877391942172,0.00896846887012459,0.030239596680577817
06_mean_reversion,ret3_Q2,12h,mfe,26312,0.012960630663112841,0.0008133884183468832,0.004276320015136337,0.009161205267104067,0.016923641768286313,0.03890265011174294
06_mean_reversion,ret3_Q2,12h,mae,26312,0.012498395451032585,0.0005946453555777498,0.0036025492026590666,0.00823460178448654,0.016599426386068733,0.03794736339168003
06_mean_reversion,ret3_Q2,12h,future_vol,26312,0.02545902611414543,0.00782332370953503,0.014581236726834153,0.021445584222768956,0.03201091921932432,0.055247138561591094
06_mean_reversion,ret3_Q3,12h,forward_return,26315,0.0008796700728232206,-0.02729196150703935,-0.007242872530282107,0.0006679322224565354,0.008872079371516017,0.03077934524257741
06_mean_reversion,ret3_Q3,12h,mfe,26315,0.012996896991531979,0.0007520717138693956,0.004166661795462323,0.009130386508375388,0.017004774341885076,0.03912402711723342
06_mean_reversion,ret3_Q3,12h,mae,26315,0.012785658274154111,0.0006495200879606534,0.003719384168809625,0.008405464660929951,0.016809471619892824,0.03887931067778683
