investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
07_range_position,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
07_range_position,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
07_range_position,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
07_range_position,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
07_range_position,pos12_Q1,12h,forward_return,26306,0.0013859415631810477,-0.028585963661219432,-0.007788777201706398,0.0013069654443170764,0.010286046286156147,0.03236093203056828
07_range_position,pos12_Q1,12h,mfe,26306,0.014316671910092732,0.0010569257523552755,0.004844558663302467,0.010332302293490803,0.018936903416697293,0.0417707833697733
07_range_position,pos12_Q1,12h,mae,26306,0.014249215750587494,0.000608367949823635,0.004038091981014097,0.009323744109377141,0.018833819063612672,0.04383558127662843
07_range_position,pos12_Q1,12h,future_vol,26306,0.028565887660680224,0.008936665138107938,0.016651795204012415,0.02375638834103884,0.0352706834995756,0.061892940422637883
07_range_position,pos12_Q2,12h,forward_return,26294,0.0013891772758877073,-0.028270456625034242,-0.0077262236440096,0.0011168842298739934,0.010155492758491869,0.03293408368169599
07_range_position,pos12_Q2,12h,mfe,26294,0.01426048965957274,0.0008614290602390273,0.004686365546604565,0.010209711476540373,0.018859298553557502,0.041855927013906696
07_range_position,pos12_Q2,12h,mae,26294,0.014136874571347638,0.0007005051641465088,0.0042437702512098385,0.009554167490408882,0.018706240293130644,0.04229038590674405
07_range_position,pos12_Q2,12h,future_vol,26294,0.02839736423092038,0.008743614797020903,0.01660295427643756,0.023879845526511907,0.035480457192473266,0.061093661086174644
07_range_position,pos12_Q3,12h,forward_return,26297,0.0014006233126299843,-0.028157480746775973,-0.007752584586466105,0.0007710175528570229,0.010058719001236671,0.033403287257139536
07_range_position,pos12_Q3,12h,mfe,26297,0.014469857324311722,0.0008255149387479844,0.0047097056459888265,0.010171142842414493,0.019453327997367653,0.043612453207008774
07_range_position,pos12_Q3,12h,mae,26297,0.013923144508541345,0.0007336343407447598,0.004144073869309484,0.009504142725627718,0.018674621944398062,0.04197190976073211
07_range_position,pos12_Q3,12h,future_vol,26297,0.028393001832853065,0.0087560845070429,0.01663267358019017,0.024029209625842315,0.035361354844796626,0.06200241227432576
07_range_position,pos12_Q4,12h,forward_return,26318,0.000913799672530256,-0.02918723299975494,-0.00843187117206387,0.000603799355493706,0.010082818512675229,0.03345691862647019
07_range_position,pos12_Q4,12h,mfe,26318,0.014409328121027343,0.0007796022493780086,0.004650620980650444,0.010245978605827877,0.019604124573782966,0.042866779109675644
07_range_position,pos12_Q4,12h,mae,26318,0.014398723909446414,0.0008489014548678343,0.004306217809195656,0.009864433396531036,0.019020731914919903,0.04246724740828943
07_range_position,pos12_Q4,12h,future_vol,26318,0.028808052030473756,0.009037589767936807,0.016948981712930158,0.02435717736163822,0.035794129262401136,0.06210936343926795
07_range_position,pos24_Q1,12h,forward_return,26304,0.0012647391705233875,-0.028923501206934793,-0.007972157997251678,0.001275965142488622,0.01022905549993064,0.031687981202721725
07_range_position,pos24_Q1,12h,mfe,26304,0.014101452810340153,0.0010450878178944968,0.004727967908920772,0.01010246358229161,0.018640665243640442,0.04132668970440306
07_range_position,pos24_Q1,12h,mae,26304,0.01437508412618864,0.0005957571972324717,0.004122432905665385,0.009478303506350372,0.019164191679612558,0.04343295920784037
07_range_position,pos24_Q1,12h,future_vol,26304,0.02847653693652879,0.008878749654491841,0.01666229432429569,0.023813196367017855,0.03523206578944241,0.061220377332804506
07_range_position,pos24_Q2,12h,forward_return,26290,0.0013545225679132316,-0.02827237004709095,-0.007676081037314764,0.0009997450835107502,0.010013283052652311,0.032890024599475404
07_range_position,pos24_Q2,12h,mfe,26290,0.01408369218588046,0.0008636728998536071,0.004603949962087239,0.00998569561760887,0.018650533505223887,0.04171002031696899
07_range_position,pos24_Q2,12h,mae,26290,0.014086934960167996,0.00069325649456361,0.004144610613307981,0.0093648451641411,0.01866369228141357,0.04287898982629116
07_range_position,pos24_Q2,12h,future_vol,26290,0.028170627146048458,0.008720768129177044,0.01628950764606687,0.023607664028996278,0.035051801940632135,0.06096705145720046
07_range_position,pos24_Q3,12h,forward_return,26304,0.0015070779919253352,-0.027598659081479564,-0.00766457035383894,0.0010074654500963343,0.009998891235656115,0.0336879094346714
07_range_position,pos24_Q3,12h,mfe,26304,0.01460688011530412,0.0008495611299672801,0.004825525044224899,0.010475607828707045,0.019511479269924747,0.04347338765718425
07_range_position,pos24_Q3,12h,mae,26304,0.013850470810574184,0.0007588188169412259,0.0041968163597002894,0.009504600622881332,0.018393692390018535,0.04089401825149826
07_range_position,pos24_Q3,12h,future_vol,26304,0.0284573509258783,0.008944651487422135,0.016681894320190363,0.0240181240275811,0.03541180380734789,0.06156056156409255
07_range_position,pos24_Q4,12h,forward_return,26317,0.0009631379008102722,-0.029703919443461513,-0.008393089239769003,0.0005462537280074287,0.010314327249839161,0.03358654910709413
07_range_position,pos24_Q4,12h,mfe,26317,0.01466405612643477,0.0007864341383002408,0.00471001170452956,0.010376073793026741,0.019949946930133633,0.04388581190176247
07_range_position,pos24_Q4,12h,mae,26317,0.014395519221205536,0.0008483194166524211,0.004255935587848758,0.009854401198652218,0.0190340111131464,0.04262995997851573
07_range_position,pos24_Q4,12h,future_vol,26317,0.0290595753476403,0.009042590584144075,0.017072468596963247,0.024550485883502986,0.03650886939389033,0.06325727909462187
