investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
08_volume_regime,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
08_volume_regime,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
08_volume_regime,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
08_volume_regime,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
08_volume_regime,vol_Q1,12h,forward_return,26297,0.001207526157376173,-0.027467367980236457,-0.007524147652700153,0.0010362883972625525,0.009787291664082431,0.031507843188938955
08_volume_regime,vol_Q1,12h,mfe,26297,0.01368459251624143,0.0008288138698179016,0.004523889264906433,0.00974861582001374,0.018118491236982504,0.040321621459595745
08_volume_regime,vol_Q1,12h,mae,26297,0.013466004440199672,0.0006771366316338235,0.004009526784319872,0.009091308213074578,0.017891799172873535,0.04052378615207848
08_volume_regime,vol_Q1,12h,future_vol,26297,0.0271505969564411,0.008566041791706676,0.016004354926510526,0.02293481877868509,0.033809840972830074,0.05870369272495069
08_volume_regime,vol_Q1_bull,12h,forward_return,13488,0.0014515650209626747,-0.027261023310583877,-0.007572329944698197,0.0009043020880553643,0.010131102362761213,0.03349660065265835
08_volume_regime,vol_Q1_bull,12h,mfe,13488,0.014233218313285573,0.0007409467900304057,0.004495266934639808,0.010092972204069572,0.019198374697324216,0.042298604551718
08_volume_regime,vol_Q1_bull,12h,mae,13488,0.013002656136532146,0.0007552656275951975,0.003899405060406952,0.008582207781491269,0.01706457176412743,0.039729782766462385
08_volume_regime,vol_Q1_bull,12h,future_vol,13488,0.02723587444981772,0.008454175394785978,0.01622795780344985,0.02302282740916301,0.03429471699061987,0.05882722383108147
08_volume_regime,vol_Q1_bear,12h,forward_return,12809,0.0009505508906063444,-0.027552233530887916,-0.007435417776991193,0.0011833919394104164,0.009517053259546993,0.029250404476322205
08_volume_regime,vol_Q1_bear,12h,mfe,12809,0.013106884283707168,0.0009369539430003738,0.0045488534791686686,0.00942265463430303,0.01716052240546917,0.03838917345218576
08_volume_regime,vol_Q1_bear,12h,mae,12809,0.013953914653320725,0.000613682360522616,0.00415020611314787,0.00962190559855558,0.01874767741362604,0.04144196717370414
08_volume_regime,vol_Q1_bear,12h,future_vol,12809,0.027060798937027886,0.008770542880712799,0.015826414605702464,0.022843224623196517,0.03331640533251017,0.05814022868442846
08_volume_regime,vol_Q2,12h,forward_return,26302,0.001252208162308384,-0.02824435267955577,-0.007802786885867996,0.0008946441669737126,0.00996535881319116,0.03350043134571187
08_volume_regime,vol_Q2,12h,mfe,26302,0.014346160770191988,0.0009213069584840139,0.0047592468938015275,0.010282520423956276,0.019055699916745106,0.042511477690342685
