series,lag_bars,lag_minutes,n,corr,mean_future_all,mean_future_given_pos,mean_future_given_neg,p_future_pos_all,p_future_pos_given_pos,p_future_pos_given_neg,p_pos_then_pos,p_neg_then_neg
1-bar close return,1,5,105406,-0.013403723227151982,8.880046668855732e-06,1.3681247320347417e-05,4.291400728469929e-06,0.5020871677134129,0.4970523769934245,0.5076027423493814,0.24956833576836232,0.24271863081798
1-bar close return,2,10,105405,-0.017974903495906386,8.862673169180893e-06,-1.6416051878956846e-05,3.447845890523831e-05,0.5020824439068355,0.48583791546208643,0.5184419165804894,0.24393529718704046,0.23734168208339262
1-bar close return,3,15,105404,0.010306710705900815,8.869266265664007e-06,1.1322571054293348e-05,6.173823587590564e-06,0.5020872073166104,0.49729791013189223,0.5069516258761346,0.24968691890250844,0.2429414443474631
1-bar close return,6,30,105401,0.009005143434267254,8.890959767875228e-06,2.007756278281635e-05,-2.5848142194758913e-06,0.5020920105122342,0.5019557453562857,0.5023939022521833,0.2520279693741046,0.2453487158565858
1-bar close return,12,60,105395,-0.0013421946909036604,8.87519096769062e-06,1.0304035768093448e-05,7.4869268999261066e-06,0.5020921296076664,0.49958426244378096,0.5047018941642886,0.2508373262488733,0.24411025190948338
3-bar return,1,5,105404,0.6599367041417792,2.6493810428201976e-05,0.001241906603253813,-0.0012130957753960499,0.5045349322606353,0.7303497555471982,0.27420004217872274,0.3684869644415772,0.3587814504193389
3-bar return,3,15,105402,-0.011077916439748309,2.649524704381324e-05,1.2038776596759299e-05,4.1406473125277376e-05,0.504535018310848,0.4864326143778559,0.5229494995973772,0.2454222880021252,0.2357450522760479
3-bar return,6,30,105399,0.005524305816318737,2.6518438753708376e-05,3.940335662825434e-05,1.3632025959447786e-05,0.5045398912703156,0.49784689445081703,0.5114562362189627,0.2511883414453648,0.24147287924932875
3-bar return,12,60,105393,-0.008679008495860676,2.650056085157419e-05,4.301120783213358e-06,4.939295497432818e-05,0.5045306614291272,0.4967465302591492,0.5125781339878054,0.25062385547427246,0.24094579336388564
6-bar return,1,5,105401,0.8278990287025453,5.289681937022774e-05,0.002154787724643485,-0.002105092218341471,0.5064373203290291,0.8100751231757808,0.1947335013175864,0.4102522746463506,0.39702659367558185
6-bar return,6,30,105396,-0.0023964187362686667,5.290021328204168e-05,4.924232988338246e-05,5.674459293437689e-05,0.5064423697294015,0.49028607827341364,0.523006193975301,0.24830164332612242,0.23512277505787696
6-bar return,12,60,105390,-0.012813246488599743,5.2859777582353354e-05,1.1939291672146791e-05,9.491921996446765e-05,0.5064237593699592,0.4907728337236534,0.5225655034434997,0.2485529936426606,0.2353543979504697
12-bar return,1,5,105395,0.9128467729501929,0.00010580298058133282,0.003329638002694651,-0.0032568399403692435,0.5104132074576593,0.8625894599869877,0.14307596851126536,0.4402770529911286,0.419203947056312
12-bar return,12,60,105384,-0.01902704785077271,0.000105486528270658,3.305631582018008e-05,0.00018060870843487336,0.5103715934107644,0.4847560975609756,0.5370011247721367,0.2474379412434525,0.22641008122675169
