investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
12_holding_horizon,ALL,12h,forward_return,105215,0.001272320268850582,-0.02857228843187713,-0.007918429952375405,0.0009549235943124845,0.010149137407698405,0.033108408069187835
12_holding_horizon,ALL,12h,mfe,105215,0.01436409468157894,0.0008840092644077037,0.004724168536954676,0.010239391630176842,0.019170772272252168,0.04250006403358055
12_holding_horizon,ALL,12h,mae,105215,0.014177041263164871,0.0007190087673783485,0.004181998308295964,0.00955178070313134,0.0187977589412176,0.04256848731048879
12_holding_horizon,ALL,12h,future_vol,105215,0.02854113594474381,0.00889653539165835,0.016728331348948106,0.024008709923462837,0.035479580278688125,0.061706080736120175
12_holding_horizon,EMA20>EMA50,12h,forward_return,55978,0.001200094270100142,-0.02976193340893592,-0.008166236410812905,0.0006711524701551452,0.010428685936465287,0.03436431076177217
12_holding_horizon,EMA20>EMA50,12h,mfe,55978,0.014640911204626895,0.000792689905325894,0.004595568556738483,0.010392084228424525,0.019904661258213885,0.04369828898054485
12_holding_horizon,EMA20>EMA50,12h,mae,55978,0.014067196342790618,0.0007600742839870168,0.004142952115743059,0.009262269579186133,0.018470970538515763,0.04251060553581185
12_holding_horizon,EMA20>EMA50,12h,future_vol,55978,0.028708107547417507,0.008755929871929921,0.016871244774294206,0.024389803345307867,0.03608977038651253,0.06158626134426279
12_holding_horizon,EMA20<=EMA50,12h,forward_return,49237,0.0013544346738316355,-0.027448195068519275,-0.007657138107795447,0.001236189157481915,0.00988772789452308,0.03143572769748605
12_holding_horizon,EMA20<=EMA50,12h,mfe,49237,0.014049379420145901,0.001002413624574139,0.00484766697224015,0.010053142732663112,0.018466683910091763,0.04132244899732694
12_holding_horizon,EMA20<=EMA50,12h,mae,49237,0.014301924967547959,0.0006831799283425036,0.0042260016840842685,0.009869894354915143,0.01914720539211545,0.0426430145184284
12_holding_horizon,EMA20<=EMA50,12h,future_vol,49237,0.02835130438769386,0.008997110457692232,0.016452549690532232,0.023636445058413863,0.034913587738223645,0.06180066552669221
