investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
12_holding_horizon,ALL,full,15m,105356,2.6604732987983238e-05,2.1557563012919445e-05,0.0011603567363716039,0.0011700056227077482,0.0028359686191275196,0.06434374881354646,0.010013667944872622,0.0008352632977713657,0.009833327005581078,0.01272827366262956,0.9774383993317893,10.0,10.0,15.0,0.0,0.0
12_holding_horizon,ALL,full,30m,105353,5.308943175311667e-05,3.548954545684602e-05,0.00171414595475472,0.00170444169709294,0.004114255953880956,0.13407306863591925,0.028333317513502227,0.0030943589646236936,0.027820754985619773,0.03326910481903695,0.9389101401953432,20.0,20.0,25.0,0.0,0.0
12_holding_horizon,ALL,full,1h,105347,0.00010614989178753659,8.094419309090384e-05,0.0024871751319268665,0.0024545105677501455,0.005964558244337473,0.2402726228558953,0.06781398616002354,0.011220063219645552,0.06621925636230742,0.07424985998652074,0.8595308836511718,30.0,35.0,45.0,0.0,0.0
12_holding_horizon,ALL,full,2h,105335,0.00021194924661925829,0.00021614316602058814,0.003640567382546145,0.0035448860238828095,0.008650291437303961,0.37930412493473203,0.139649689087198,0.03102482555655765,0.13398205724592965,0.14237432952010254,0.7236436132339679,45.0,65.0,75.0,0.0,0.0
12_holding_horizon,ALL,full,4h,105311,0.0004229280200326158,0.0003510923329543836,0.005373682096315058,0.005147606171464925,0.012780234886292348,0.5265546808975321,0.25729505939550473,0.07657319748174454,0.2403167760252965,0.24153222360437182,0.5181510003703317,70.0,115.0,145.0,0.0,0.0
12_holding_horizon,ALL,full,8h,105263,0.0008443852809437026,0.0007679856327611478,0.008039299288649993,0.0075168655038725385,0.01885614252792042,0.6672240008360013,0.4126236189354284,0.1607972411958618,0.36283404425106636,0.35025602538403805,0.28690993036489554,100.0,185.0,250.0,0.0,0.0
12_holding_horizon,ALL,full,12h,105215,0.001272320268850582,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.024008709923462837,0.7355795276338926,0.5093380221451314,0.2368673668203203,0.42416005322435013,0.402528156631659,0.17331179014399087,115.0,240.0,355.0,0.0,0.0
12_holding_horizon,ALL,full,24h,105071,0.002482924058899741,0.0016413102153189918,0.015144484133903902,0.014085347790123937,0.036313016939486104,0.8276403574725661,0.6506743059455035,0.38953659906158694,0.48375860132672194,0.4596701278183324,0.056571270854945704,145.0,335.0,590.0,0.0,0.0
12_holding_horizon,ALL,thinned144,15m,731,0.00010122006236362018,4.7368333795150264e-05,0.0012328879770018286,0.001187429742141588,0.0028517105425532076,0.06976744186046512,0.006839945280437756,0.0013679890560875513,0.006839945280437756,0.006839945280437756,0.9863201094391245,15.0,15.0,15.0,2.581077078223082e-05,-0.002993381725143322
12_holding_horizon,ALL,thinned144,30m,731,0.0001270071933606956,-2.918059710255161e-05,0.0018956764101440982,0.0018855059109763594,0.0043555499133529334,0.1491108071135431,0.036935704514363885,0.005471956224350205,0.036935704514363885,0.030095759233926128,0.93296853625171,20.0,25.0,30.0,-6.467014255939763e-05,0.009114949528744112
12_holding_horizon,ALL,thinned144,1h,731,-5.9535390112530724e-05,-0.00013415734867272544,0.0027272572995560296,0.002709521598471598,0.006145307303855177,0.2448700410396717,0.057455540355677154,0.012311901504787962,0.0560875512995896,0.06566347469220246,0.8782489740082079,30.0,30.0,35.0,-0.00021510154176362928,-0.010131705062717822
12_holding_horizon,ALL,thinned144,2h,731,-0.00018282090958432823,-5.905802450911768e-05,0.00412911155331841,0.0044873894529969816,0.010072489635238786,0.4213406292749658,0.14227086183310533,0.027359781121751026,0.13953488372093023,0.16552667578659372,0.6949384404924761,50.0,75.0,85.0,-0.0002752011905297058,0.005552826475000577
12_holding_horizon,ALL,thinned144,4h,731,0.0001794958311433978,-6.579899291536684e-05,0.006605372946103749,0.006284676983924431,0.015441334768568337,0.6032831737346102,0.2954856361149111,0.08891928864569083,0.2694938440492476,0.29411764705882354,0.4363885088919289,80.0,125.0,155.0,-0.0004168913258697504,0.02917706802395109
12_holding_horizon,ALL,thinned144,8h,731,0.0005215097971049898,0.000823231358192622,0.008116245199422112,0.00818869790812693,0.019943696295455136,0.6963064295485636,0.4213406292749658,0.15868673050615595,0.35157318741450067,0.37756497948016415,0.2708618331053352,95.0,160.0,220.0,5.524572543147421e-05,-0.011260856836565691
12_holding_horizon,ALL,thinned144,12h,730,0.0012765360035479033,0.0012259799955774975,0.010079799823177304,0.009435466159830153,0.02361665269991515,0.7452054794520548,0.5,0.23424657534246576,0.4041095890410959,0.4123287671232877,0.18356164383561643,100.0,195.0,335.0,0.00027105640126501296,-0.020050464183254235
12_holding_horizon,ALL,thinned144,24h,729,0.002478937837794769,0.0016723484848484294,0.01524213513279915,0.014334505098265615,0.03624226752108382,0.8340192043895748,0.644718792866941,0.3813443072702332,0.47050754458161864,0.46364883401920437,0.06584362139917696,120.0,295.0,597.5,3.1038269529437557e-05,-0.013251056745103296
12_holding_horizon,EMA20>EMA50,full,15m,56037,3.0470582334410224e-05,-4.04913749338931e-05,0.0011118969642147647,0.001142792552698113,0.0027417248275581774,0.06288702107536093,0.009814943697913879,0.0006781233827649588,0.009725716937023753,0.008833449328122491,0.9814408337348538,10.0,15.0,15.0,-6.204893794681254e-05,-0.00010761006855732579
12_holding_horizon,EMA20>EMA50,full,30m,56037,6.576411442870587e-05,-6.895034446130488e-05,0.0016309780297838472,0.0016643478260869315,0.003986624269864901,0.13423273908310582,0.03014079982868462,0.003515534379070971,0.029855274193836216,0.0248228848796331,0.9453218409265307,20.0,20.0,25.0,-0.0001044398899181509,0.0020345192082164426
12_holding_horizon,EMA20>EMA50,full,1h,56037,0.00011827706659023504,-0.00011987207033770098,0.0023718255284099765,0.0024004997404004635,0.005792803732344937,0.23864589467673145,0.07373699519960027,0.014026446811927834,0.07259489266020665,0.06004961007905491,0.8673554972607385,30.0,35.0,45.0,-0.0002008162634286048,0.006375636297899223
