investigation,regime,n,median_forward_return_1h,median_forward_return_4h,median_forward_return_12h,mfe,mae,p_plus_1R,p_minus_1R,p_plus_1R_before_minus_1R,future_volatility,monthly_consistency,clustering_note,interpretation,verdict,n_thinned144,p_race_thinned144,delta_p_race_vs_all,delta_median_fwd_12h_vs_all
01_time_of_day,ALL,105215,8.094419309090384e-05,0.0003510923329543836,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.5093380221451314,0.402528156631659,0.42416005322435013,0.024008709923462837,baseline,median gap 5.0 min; %<1h 100.0; %<3h 100.0; %<12h 100.0,unconditional 2024 reference path,baseline,730,0.4041095890410959,0.0,0.0
01_time_of_day,00-04,17520,2.7205545350184046e-05,0.0003892636853831677,0.0010371802358658533,0.009216373184310234,0.00831140514537726,0.4703196347031963,0.38938356164383564,0.392351598173516,0.021103337986174704,mixed (4/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,directional difference versus baseline. monthly: mixed (4/12 months race>baseline),C,365,0.39452054794520547,-0.03180845505083413,8.225664155336876e-05
01_time_of_day,04-08,17567,0.00011991023527602174,0.0003679677162857775,0.0003990839833161175,0.011045260505425869,0.010452048483295284,0.540331303011328,0.4067285250754255,0.44145272385723233,0.02625320371126539,mixed (8/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,small directional difference (below ~0.30R cost scale). monthly: mixed (8/12 months race>baseline),C,0,,0.0172926706328822,-0.000555839610996367
01_time_of_day,08-12,17568,0.00014354063996535604,0.00032578682586881236,0.0010095919397112851,0.011379153957095434,0.011304986104078596,0.5564093806921676,0.4165528233151184,0.45360883424408016,0.028165706923534005,mixed (8/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,small directional difference (below ~0.30R cost scale). monthly: mixed (8/12 months race>baseline),C,0,,0.02944878101973003,5.466834539880061e-05
01_time_of_day,12-16,17520,-1.535315504497259e-05,0.0003220854121296357,0.0008303853215062551,0.011124515757382603,0.010876733464524835,0.5402397260273972,0.4353310502283105,0.43961187214611874,0.027805295047629013,mixed (8/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,small directional difference (below ~0.30R cost scale). monthly: mixed (8/12 months race>baseline),C,365,0.4136986301369863,0.015451818921768612,-0.00012453827280622942
01_time_of_day,16-20,17520,0.00017043051408593968,0.0003975914752244458,0.0009755985728925332,0.009573617170438031,0.009187390409404972,0.4840182648401826,0.39885844748858446,0.41335616438356165,0.02295550867377675,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,small mixed difference. monthly: mixed (5/12 months race>baseline),C,0,,-0.010803888840788478,2.067497858004863e-05
01_time_of_day,20-24,17520,3.089292288338541e-05,0.0003100599181364849,0.0013122999908130595,0.009131321301757311,0.008073825605005636,0.46449771689497715,0.3682648401826484,0.40445205479452057,0.020376062023632104,unstable (race edge concentrated in <=2 months),median gap 5.0 min; %<1h 97.9; %<3h 97.9; %<12h 97.9,small directional difference (below ~0.30R cost scale). monthly: unstable (race edge concentrated in <=2 months),C,0,,-0.019707998429829565,0.00035737639650057496
02_day_of_week,ALL,105215,8.094419309090384e-05,0.0003510923329543836,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.5093380221451314,0.402528156631659,0.42416005322435013,0.024008709923462837,baseline,median gap 5.0 min; %<1h 100.0; %<3h 100.0; %<12h 100.0,unconditional 2024 reference path,baseline,730,0.4041095890410959,0.0,0.0
02_day_of_week,Monday,15215,8.87337559918322e-05,0.0005473116885115203,0.0014667816671101175,0.013051945353571348,0.011350125768443409,0.5908642786723628,0.45928360170884,0.4818271442655274,0.02902651337400283,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,higher-activity weekday; resolved 1R coin 51.2% vs ALL 51.3% — not a directional edge,B,105,0.4857142857142857,0.05766709104117729,0.000511858072797633
02_day_of_week,Tuesday,15120,-1.6813850841290723e-05,-0.0001395910832327485,-0.00022147945826711535,0.011037064296460009,0.012764999732837012,0.5453703703703704,0.4924603174603175,0.43227513227513226,0.02779361679832344,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: mixed (7/12 months race>baseline),C,105,0.3904761904761905,0.008115079050782126,-0.0011764030525795999
02_day_of_week,Wednesday,14976,9.241708629026402e-05,0.00023998395737689915,0.0009608700388561431,0.011541285927398892,0.01173328398169543,0.5586939102564102,0.46968482905982906,0.45372596153846156,0.026862394787442012,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: mixed (7/12 months race>baseline),C,104,0.4423076923076923,0.029565908314111433,5.946444543658558e-06
02_day_of_week,Thursday,14976,0.00015359530203351568,0.000529596546477884,0.0002627758313010764,0.011603139919807881,0.011211159034610452,0.5741185897435898,0.42454594017094016,0.48203792735042733,0.02691359017658899,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,directional difference versus baseline. monthly: mixed (7/12 months race>baseline),B,104,0.46153846153846156,0.0578778741260772,-0.0006921477630114081
02_day_of_week,Friday,14976,0.00019578915473827951,0.00064595213419949,0.0019330372085306635,0.011239373814237008,0.009233079448660253,0.5440037393162394,0.39029113247863245,0.4473157051282051,0.024486503870552213,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),B,104,0.5,0.02315565190385499,0.000978113614218179
02_day_of_week,Saturday,14976,6.066950369865154e-05,0.00037179240511020506,0.0008528240754523964,0.006028484660360545,0.005014890929287974,0.28378739316239315,0.2012553418803419,0.2720352564102564,0.013035090306167396,unstable (race edge concentrated in <=2 months),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,directional difference versus baseline. monthly: unstable (race edge concentrated in <=2 months),B,104,0.22115384615384615,-0.15212479681409374,-0.00010209951886008817
02_day_of_week,Sunday,14976,3.961701703047993e-05,0.0002888933551684625,0.0013508895580600644,0.00928413838890152,0.007919516553845651,0.4668803418803419,0.37840544871794873,0.39890491452991456,0.020270026486248788,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 99.7; %<3h 99.7; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: mixed (5/12 months race>baseline),C,104,0.3269230769230769,-0.025255138694435575,0.00039596596374757986
