timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,1,CLOSED,BTCUSDT,LONG,2024-01-01 12:20:00+00:00,2024-01-01 12:25:00+00:00,42684.13,42705.472064999994,2024-01-01 20:00:00+00:00,43559.5815063,43537.80171554685,0.0004678562023529287,19.980019980019982,0.19980019980019983,42278.41734435,43559.5815063,TP,0.40958541708166896,0.019980019980019983,0.020369430569430573,0.009985017481267996,0.010189810189809924,0.020174827671077922,0.3490611388611405,1.747051000000008,0 days 07:35:00
5m,DEVELOPMENT,2,CLOSED,BTCUSDT,LONG,2024-01-01 21:55:00+00:00,2024-01-01 22:00:00+00:00,43619.22,43641.02961,2024-01-02 00:10:00+00:00,44513.850202199996,44491.593277098895,0.0004658169751750431,20.32873240645469,0.20328732406454691,43204.619313899995,44513.850202199996,TP,0.41673393468903863,0.02032873240645469,0.02072493940105649,0.010159286559945793,0.010367653527292327,0.02052694008723812,0.35515332279428935,1.747050999999993,0 days 02:10:00
5m,DEVELOPMENT,3,CLOSED,BTCUSDT,LONG,2024-01-02 05:10:00+00:00,2024-01-02 05:15:00+00:00,45314.01,45336.667005,2024-01-02 15:15:00+00:00,44883.30033495,44860.85868478253,0.00045622080971333004,20.683530930724714,0.20683530930724714,44883.30033495,46243.4003451,SL,-0.19649871214046932,0.020683530930724715,0.02046645727360676,0.010336597166779394,0.010238347810707081,0.020574944977486475,-0.25822364532228725,-1.2484504999999995,0 days 10:00:00
5m,DEVELOPMENT,4,CLOSED,BTCUSDT,LONG,2024-01-04 00:05:00+00:00,2024-01-04 00:10:00+00:00,42884.99,42906.432494999994,2024-01-04 15:00:00+00:00,43764.56114489999,43742.67886432754,0.0004760490225670084,20.425565251082077,0.20425565251082078,42477.368170049995,43764.56114489999,TP,0.4187189838077865,0.02042556525108208,0.020823659517825666,0.010207678786145912,0.01041703827805115,0.02062471706419706,0.3568450419746817,1.7470509999999988,0 days 14:50:00
5m,DEVELOPMENT,5,CLOSED,BTCUSDT,LONG,2024-01-04 18:35:00+00:00,2024-01-04 18:40:00+00:00,44069.98,44092.01499,2024-01-05 01:45:00+00:00,43651.094840100006,43629.26929267996,0.00047133372809604347,20.782053804503335,0.20782053804503334,43651.094840100006,44973.855289800005,SL,-0.19743470405977298,0.020782053804503334,0.020563946149825076,0.010385833985259087,0.010287116633228528,0.020672950618487614,-0.259453654632589,-1.248450499999991,0 days 07:05:00
5m,DEVELOPMENT,6,CLOSED,BTCUSDT,LONG,2024-01-05 08:10:00+00:00,2024-01-05 08:15:00+00:00,43872.14,43894.076069999996,2024-01-05 10:55:00+00:00,43455.13530929999,43433.407741645344,0.00046755419368213,20.522859344330925,0.20522859344330927,43455.13530929999,44771.957591399994,SL,-0.19497229192190774,0.020522859344330926,0.020307471935512172,0.01025630152140294,0.010158815375443218,0.020415116896846157,-0.256217740098597,-1.248450500000004,0 days 02:40:00
5m,DEVELOPMENT,7,CLOSED,BTCUSDT,LONG,2024-01-05 13:00:00+00:00,2024-01-05 13:05:00+00:00,43978.0,43999.988999999994,2024-01-05 14:40:00+00:00,43559.989109999995,43538.209115444995,0.0004606114234712798,20.26689756601065,0.2026689756601065,43559.989109999995,44879.98877999999,SL,-0.19254059106939886,0.020266897566010647,0.02005419647605537,0.010128384590707263,0.010032114295175077,0.02016049888588234,-0.2530221839973472,-1.2484504999999972,0 days 01:35:00
5m,DEVELOPMENT,8,CLOSED,BTCUSDT,LONG,2024-01-05 21:15:00+00:00,2024-01-05 21:20:00+00:00,43791.79,43813.685894999995,2024-01-08 02:45:00+00:00,43375.54903605,43353.86126153197,0.0004568008315801591,20.014128151427887,0.20014128151427887,43375.54903605,44689.9596129,SL,-0.19013921847008877,0.020014128151427887,0.01980407987647865,0.010002063044189198,0.009906993434956587,0.019909056479145787,-0.24986648297714106,-1.2484504999999941,2 days 05:25:00
5m,DEVELOPMENT,9,CLOSED,BTCUSDT,LONG,2024-01-08 15:40:00+00:00,2024-01-08 15:45:00+00:00,44982.64,45005.13132,2024-01-08 18:00:00+00:00,45905.2339464,45882.281329426805,0.00043916128462741824,19.764511285316857,0.19764511285316858,44555.0800068,45905.2339464,TP,0.40516754269050514,0.01976451128531686,0.020149721610267683,0.009877316984166782,0.010079900755510726,0.019957217739677506,0.3452960920552431,1.7470510000000106,0 days 02:15:00
5m,DEVELOPMENT,10,CLOSED,BTCUSDT,LONG,2024-01-08 23:05:00+00:00,2024-01-08 23:10:00+00:00,47056.0,47079.528,2024-01-09 00:35:00+00:00,46608.73272,46585.42835364,0.0004271381485861793,20.10946242623119,0.2010946242623119,46608.73272,48021.11856,SL,-0.19104491790237627,0.02010946242623119,0.019898413618067896,0.010049706359934955,0.009954183900982941,0.020003890260917895,-0.25105668420759325,-1.2484504999999892,0 days 01:25:00
5m,DEVELOPMENT,11,CLOSED,BTCUSDT,LONG,2024-01-09 07:10:00+00:00,2024-01-09 07:15:00+00:00,46807.99,46831.393995,2024-01-09 12:55:00+00:00,46363.08005505,46339.898515022476,0.00042404581315734816,19.858656547901926,0.19858656547901926,46363.08005505,47768.0218749,SL,-0.18866219938811335,0.019858656547901928,0.019650239947431695,0.009924366090905756,0.009830034991210485,0.019754401082116242,-0.2479254969655632,-1.2484504999999944,0 days 05:40:00
5m,DEVELOPMENT,12,CLOSED,BTCUSDT,LONG,2024-01-09 15:40:00+00:00,2024-01-09 15:45:00+00:00,46955.78,46979.25788999999,2024-01-09 18:30:00+00:00,46509.46531109999,46486.21057844444,0.0004174390914108055,19.610978728755512,0.19610978728755513,46509.46531109999,47918.843047799994,SL,-0.18630919821771458,0.019610978728755512,0.019405161506997226,0.009800589069840606,0.009707434470734176,0.019508023540574782,-0.2448333619940421,-1.2484505000000012,0 days 02:45:00
5m,DEVELOPMENT,13,CLOSED,BTCUSDT,LONG,2024-01-10 16:20:00+00:00,2024-01-10 16:25:00+00:00,45414.01,45436.717005,2024-01-10 17:55:00+00:00,46345.4513451,46322.27861942745,0.0004262277565829317,19.366389955534693,0.19366389955534694,44982.34983495,46345.4513451,TP,0.3970061549105613,0.019366389955534694,0.019743840895768066,0.00967835579986595,0.009876858877322633,0.019555214677188584,0.33834070938206995,1.747051000000008,0 days 01:30:00
5m,DEVELOPMENT,14,CLOSED,BTCUSDT,LONG,2024-01-10 19:30:00+00:00,2024-01-10 19:35:00+00:00,46364.0,46387.182,2024-01-10 20:10:00+00:00,45923.31018,45900.348524910005,0.0004247809807073448,19.704392662210093,0.19704392662210093,45923.31018,47314.92564,SL,-0.18719665392734308,0.019704392662210093,0.0194975950612202,0.009847272694757964,0.009753674367792073,0.019600947062550035,-0.24599958871332342,-1.2484504999999908,0 days 00:35:00
5m,DEVELOPMENT,15,CLOSED,BTCUSDT,LONG,2024-01-11 02:50:00+00:00,2024-01-11 02:55:00+00:00,46599.99,46623.28999499999,2024-01-11 05:35:00+00:00,46157.05709504999,46133.97856650247,0.0004173587670329238,19.458638827331647,0.19458638827331648,46157.05709504999,47555.75579489999,SL,-0.18486193108824672,0.019458638827331648,0.019254420412838803,0.00972445718507076,0.009632026219527611,0.01935648340459837,-0.24293147373301555,-1.2484504999999972,0 days 02:40:00
