timeframe,period_role,metric,value
5m,DEVELOPMENT,starting_capital,20.0
5m,DEVELOPMENT,ending_cash,0.0
5m,DEVELOPMENT,ending_realized_equity,10.769624334275651
5m,DEVELOPMENT,ending_mtm_equity,10.760907902209311
5m,DEVELOPMENT,total_net_pnl,-9.230375665724345
5m,DEVELOPMENT,total_gross_pnl,6.464075026379758
5m,DEVELOPMENT,total_fees,10.462966050723939
5m,DEVELOPMENT,total_slippage,5.231484641380165
5m,DEVELOPMENT,signals,1594
5m,DEVELOPMENT,filled_trades,331
5m,DEVELOPMENT,closed_trades,330
5m,DEVELOPMENT,open_end_of_data,1
5m,DEVELOPMENT,ignored_signals,1263
5m,DEVELOPMENT,ignored_position_open,1263
5m,DEVELOPMENT,ignored_no_next_candle,0
5m,DEVELOPMENT,ignored_insufficient_cash,0
5m,DEVELOPMENT,tp_count,118
5m,DEVELOPMENT,sl_count,212
5m,DEVELOPMENT,win_count,118
5m,DEVELOPMENT,loss_count,212
5m,DEVELOPMENT,scratch_count,0
5m,DEVELOPMENT,win_rate,0.3575757575757576
5m,DEVELOPMENT,loss_rate,0.6424242424242425
5m,DEVELOPMENT,average_winning_trade,0.2771524471386611
5m,DEVELOPMENT,average_losing_trade,-0.19780360579286016
5m,DEVELOPMENT,median_winning_trade,0.26975936848765675
5m,DEVELOPMENT,median_losing_trade,-0.1945057014416987
5m,DEVELOPMENT,profit_factor,0.7798851659823387
5m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.027970835350679835
5m,DEVELOPMENT,average_R_per_closed_trade,-0.17733178181817708
5m,DEVELOPMENT,expectancy_per_trade,-0.027970835350679835
5m,DEVELOPMENT,expectancy_R,-0.17733178181817708
5m,DEVELOPMENT,median_R,-1.2484504999999912
5m,DEVELOPMENT,total_R,-58.51948799999843
5m,DEVELOPMENT,average_holding_time,0 days 09:58:23.636363636
5m,DEVELOPMENT,median_holding_time,0 days 04:45:00
5m,DEVELOPMENT,max_holding_time,3 days 04:20:00
5m,DEVELOPMENT,average_holding_candles,119.67878787666666
5m,DEVELOPMENT,median_holding_candles,57.0
5m,DEVELOPMENT,max_holding_candles,916.0
5m,DEVELOPMENT,max_consecutive_wins,6
5m,DEVELOPMENT,max_consecutive_losses,12
5m,DEVELOPMENT,max_drawdown,10.147008629873307
5m,DEVELOPMENT,max_drawdown_pct,0.48605703117849325
5m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-02 09:00:00+00:00
5m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-31 20:05:00+00:00
5m,DEVELOPMENT,largest_win_net_pnl,0.35515332279429246
5m,DEVELOPMENT,sum_of_winning_net_pnl,32.703988762362
5m,DEVELOPMENT,months_with_closed_trades,8
5m,DEVELOPMENT,max_month_share_of_net,
5m,DEVELOPMENT,open_entry_fees,0.01075886546880743
5m,DEVELOPMENT,unresolved_reserved,10.769624334276237
15m,DEVELOPMENT,starting_capital,20.0
15m,DEVELOPMENT,ending_cash,0.0
15m,DEVELOPMENT,ending_realized_equity,12.547640499797417
15m,DEVELOPMENT,ending_mtm_equity,12.481747101725862
15m,DEVELOPMENT,total_net_pnl,-7.45235950020258
15m,DEVELOPMENT,total_gross_pnl,1.7024170144310757
15m,DEVELOPMENT,total_fees,6.103184059353165
15m,DEVELOPMENT,total_slippage,3.051592455280492
15m,DEVELOPMENT,signals,522
15m,DEVELOPMENT,filled_trades,188
15m,DEVELOPMENT,closed_trades,187
15m,DEVELOPMENT,open_end_of_data,1
15m,DEVELOPMENT,ignored_signals,334
15m,DEVELOPMENT,ignored_position_open,334
15m,DEVELOPMENT,ignored_no_next_candle,0
15m,DEVELOPMENT,ignored_insufficient_cash,0
15m,DEVELOPMENT,tp_count,63
15m,DEVELOPMENT,sl_count,124
15m,DEVELOPMENT,win_count,63
15m,DEVELOPMENT,loss_count,124
15m,DEVELOPMENT,scratch_count,0
15m,DEVELOPMENT,win_rate,0.33689839572192515
15m,DEVELOPMENT,loss_rate,0.6631016042780749
15m,DEVELOPMENT,average_winning_trade,0.2837775848487904
15m,DEVELOPMENT,average_losing_trade,-0.20427699472319658
15m,DEVELOPMENT,median_winning_trade,0.27624673776500164
15m,DEVELOPMENT,median_losing_trade,-0.2002783502894917
15m,DEVELOPMENT,profit_factor,0.7057932369224056
15m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.039852189840655514
15m,DEVELOPMENT,average_R_per_closed_trade,-0.2392708502673746
15m,DEVELOPMENT,expectancy_per_trade,-0.039852189840655514
15m,DEVELOPMENT,expectancy_R,-0.2392708502673746
15m,DEVELOPMENT,median_R,-1.2484504999999906
15m,DEVELOPMENT,total_R,-44.743648999999046
15m,DEVELOPMENT,average_holding_time,0 days 11:00:19.251336897
15m,DEVELOPMENT,median_holding_time,0 days 05:30:00
15m,DEVELOPMENT,max_holding_time,2 days 15:00:00
15m,DEVELOPMENT,average_holding_candles,132.06417112
15m,DEVELOPMENT,median_holding_candles,66.0
15m,DEVELOPMENT,max_holding_candles,756.0
15m,DEVELOPMENT,max_consecutive_wins,4
15m,DEVELOPMENT,max_consecutive_losses,9
15m,DEVELOPMENT,max_drawdown,7.546821191241783
15m,DEVELOPMENT,max_drawdown_pct,0.37734105956208913
15m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-01 00:00:00+00:00
15m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-31 20:15:00+00:00
