timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,41,12,29,0.2926829268292683,-0.6139230284674098,1.5203977719283355,0.7601987324833405,-2.894519532879086,-2.894519532879086,17.10548046712089,17.105480467120916,17.10548046712089,4.425248871472963,0.21197610124837174
5m,DEVELOPMENT,2024-02,37,18,19,0.4864864864864865,3.3252601947746037,1.3534033267298549,0.6767024946798992,1.2951543733648494,-1.5993651595142366,18.40063484048576,18.400634840485765,18.40063484048576,2.359911771318963,0.12146617887600708
5m,DEVELOPMENT,2024-03,51,19,32,0.37254901960784315,1.4549716947064502,1.8320598029059822,0.916030265195819,-1.2931183733953513,-2.892483532909588,17.107516467090402,17.107516467090402,17.107516467090402,3.1104484220269697,0.16007345016403343
5m,DEVELOPMENT,2024-04,42,13,29,0.30952380952380953,-0.2304478543335774,1.3267252213118412,0.6633625530438901,-2.220535628689309,-5.113019161598897,14.886980838401094,14.886980838401092,14.886980838401094,2.586866113867565,0.1512122533299266
5m,DEVELOPMENT,2024-05,37,15,22,0.40540540540540543,1.452417895396128,1.1314005615839926,0.565700643896403,-0.2446833100842675,-5.357702471683165,-4.121147867408581e-13,14.642297528316826,14.596893134025812,1.631342929465486,0.10151200603366255
5m,DEVELOPMENT,2024-06,21,8,13,0.38095238095238093,0.5578947190787552,0.6104289290058084,0.30521460397655087,-0.357748813903604,-5.715451285586769,-4.405364961712621e-13,14.284548714413223,14.43376426708373,1.7881109808169633,0.11583100481263799
5m,DEVELOPMENT,2024-07,51,20,31,0.39215686274509803,1.595417225293143,1.4645526508278628,0.7322767242681562,-0.601412149802876,-6.316863435389645,13.68313656461034,13.683136564610342,13.68313656461034,2.19571430126288,0.1394768861552858
5m,DEVELOPMENT,2024-08,50,13,37,0.26,-1.0775158200683341,1.2239977864302611,0.6119986238361061,-2.9135122303347014,-9.230375665724345,-5.986322548778844e-13,10.769624334275639,10.760907902209311,3.017128376293119,0.21948676297968012
5m,VALIDATION,2024-09,34,11,23,0.3235294117647059,0.051887580265043365,1.28329903557689,0.641649530760269,-1.8730609860721155,-1.8730609860721155,18.12693901392787,18.126939013927903,18.12693901392787,2.0892026496195513,0.10437562400781761
5m,VALIDATION,2024-10,33,13,20,0.3939393939393939,1.2593511506580817,1.1506212598760144,0.5753109447757377,-0.4665810539936702,-2.339642040065786,17.6603579599342,17.66035795993424,17.6603579599342,1.7243604491422246,0.09470499256777863
5m,VALIDATION,2024-11,50,18,32,0.36,1.1029960204760878,1.7504941836106038,0.8752473675542195,-1.5227455306887352,-3.862387570754521,-2.4868995751603507e-13,16.137612429245504,16.023467580451353,3.2732906841129434,0.17078515048074913
5m,VALIDATION,2024-12,42,10,32,0.23809523809523808,-1.429593019089609,1.245366450133877,0.6226828676686139,-3.2976423368921,-7.160029907646621,12.839970092353363,12.839970092353399,12.839970092353363,3.6391181043671565,0.22172708219814957
15m,DEVELOPMENT,2024-01,22,5,17,0.22727272727272727,-1.1523763840620052,0.8201506210437286,0.4100750224277333,-2.382602027533467,-2.382602027533467,17.617397972466524,17.617397972466527,17.617397972466524,2.3826020275334763,0.11913010137667382
15m,DEVELOPMENT,2024-02,28,13,15,0.4642857142857143,2.172984606858242,1.0099071376614648,0.5049541120768338,0.6581233571199434,-1.7244786704135235,18.275521329586457,18.27552132958647,18.275521329586457,1.3413523529623426,0.07182132693054323
15m,DEVELOPMENT,2024-03,27,10,17,0.37037037037037035,0.7047699895438833,0.9514709545393449,0.47573565346210317,-0.7224366184575649,-2.4469152888710886,17.553084711128875,17.553084711128903,17.553084711128875,1.492475595110001,0.08102636591505609
15m,DEVELOPMENT,2024-04,23,5,18,0.21739130434782608,-1.1680178250128326,0.7439504011081142,0.3719749085495606,-2.2839431346705075,-4.730858423541596,15.269141576458372,15.269141576458397,15.269141576458372,2.4074127310000026,0.13715040806894033
15m,DEVELOPMENT,2024-05,18,7,11,0.3888888888888889,0.5937665288897138,0.5668070491398811,0.2834036730115285,-0.2564441932616959,-4.987302616803292,15.012697383196686,15.012697383196707,15.012697383196686,1.1465656245688312,0.07095407903304972
15m,DEVELOPMENT,2024-06,15,6,9,0.4,0.5346230448472599,0.44746737864791475,0.22373382297970143,-0.13657815678035623,-5.123880773583648,14.87611922641633,14.87611922641635,14.87611922641633,0.7631644181436439,0.04996259673998106
15m,DEVELOPMENT,2024-07,25,11,14,0.44,1.351386342803746,0.7548557250185045,0.3774282003557943,0.2191024174294472,-4.904778356154201,15.095221643845782,15.095221643845798,15.095221643845782,1.12612521440124,0.07082846389176485
15m,DEVELOPMENT,2024-08,29,6,23,0.20689655172413793,-1.3347192894369315,0.8085747921942117,0.4042870624172368,-2.54758114404838,-7.452359500202581,-3.2152058793144533e-13,12.547640499797422,12.481747101725862,2.6420428350875653,0.17502511042391405
15m,VALIDATION,2024-09,26,9,17,0.34615384615384615,0.38633798518105744,1.0043035406421637,0.5021518669055218,-1.120117422366628,-1.120117422366628,18.879882577633346,18.879882577633374,18.879882577633346,1.6863398231808375,0.08390160676868258
15m,VALIDATION,2024-10,20,10,10,0.5,2.0808914426726983,0.7747016416660432,0.38735134105583907,0.9188384599508159,-0.201278962415812,19.798721037584173,19.798721037584183,19.798721037584173,0.7756266326522194,0.03892975812422215
15m,VALIDATION,2024-11,30,13,17,0.43333333333333335,2.056418435081663,1.2172818652911757,0.6086414467501291,0.23049512304035819,0.029216160624546184,20.029216160624532,20.029216160624546,20.029216160624532,1.4358122738011438,0.0675557380545383
15m,VALIDATION,2024-12,23,6,17,0.2608695652173913,-0.7592040107898212,0.8793014101276063,0.4396505152627487,-2.0781559361801762,-2.0489397755556302,17.951060224444348,17.951060224444362,17.951060224444348,2.258385341399567,0.11174900043851155
1h,DEVELOPMENT,2024-01,11,3,8,0.2727272727272727,-0.3111686644134162,0.42374132760584854,0.21187058601073785,-0.9467805780300026,-0.9467805780300026,19.053219421969974,19.053219421969995,19.053219421969974,1.5229854919552466,0.07574161226998032
1h,DEVELOPMENT,2024-02,10,4,6,0.4,0.4576083886886364,0.38222806505940965,0.19111414693177672,-0.11573382330255,-1.0625144013325527,18.937485598667415,18.93748559866744,18.937485598667415,0.9181723162361628,0.04624235168490621
1h,DEVELOPMENT,2024-03,15,10,5,0.6666666666666666,3.1180019601961306,0.6068141317370437,0.30340784536897053,2.2077799830901164,1.1452655817575637,21.14526558175752,21.145265581757563,21.14526558175752,0.6847321643427726,0.032105445548338246
1h,DEVELOPMENT,2024-04,8,3,5,0.375,0.28336196469097885,0.3409594483423539,0.1704797950116484,-0.2280772786630233,0.9171883030945404,20.917188303094495,20.917188303094537,20.917188303094495,1.0919016251505909,0.04988174136757806
1h,DEVELOPMENT,2024-05,11,2,9,0.18181818181818182,-0.9014001026271174,0.4499249425309557,0.2249622459154182,-1.5762872910734913,-0.659098987978951,19.34090101202101,19.340901012021046,19.34090101202101,1.9413561696160428,0.09121946760849696
1h,DEVELOPMENT,2024-06,6,2,4,0.3333333333333333,0.053097593033105406,0.2349428746642691,0.11747145060651676,-0.2993167322376803,-0.9584157202166312,19.041584279783343,19.04158427978336,19.041584279783343,1.033068937726508,0.05146135908467038
1h,DEVELOPMENT,2024-07,12,3,9,0.25,-0.4617035723529058,0.44396766794357034,0.22198371854587398,-1.1276549588423501,-2.0860706790589814,17.913929320940994,17.913929320941012,17.913929320940994,1.7289202022771342,0.08976890093854184
1h,DEVELOPMENT,2024-08,5,1,4,0.2,-0.3169994739249205,0.1751785775515861,0.08758920952591343,-0.57976726100242,-2.6658379400614014,17.33416205993858,17.33416205993859,17.33416205993858,0.7741387397903949,0.04321434599417804
1h,VALIDATION,2024-09,10,4,6,0.4,0.48937401548016435,0.40723912579125277,0.20361968523910412,-0.12148479555019248,-0.12148479555019248,19.87851520444981,19.878515204449805,19.87851520444981,0.9698073994022423,0.04651728668200171
1h,VALIDATION,2024-10,12,5,7,0.4166666666666667,0.7112428910577938,0.49191762496770297,0.24595899029453397,-0.026633724204442988,-0.14811851975463547,19.851881480245375,19.85188148024536,19.851881480245375,1.4954766000982715,0.07005441115803861
1h,VALIDATION,2024-11,13,4,9,0.3076923076923077,-0.08856548380287338,0.507412225859879,0.2537060907885416,-0.8496838004512939,-0.9978023202059294,-7.460698725481052e-14,19.002197679794065,18.88297929356829,1.439609865270782,0.07127361051030304
1h,VALIDATION,2024-12,9,3,6,0.3333333333333333,0.054490770532375554,0.3292614677530192,0.16463074749918394,-0.43940144471982756,-1.437203764925757,18.562796235074252,18.56279623507424,18.562796235074252,1.1401580441562338,0.0602807917428894
