timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,50,16,34,0.32,0.033973204615978886,1.8784488389839937,0.9392244279852002,-2.783700062353215,-2.783700062353215,17.21629993764677,17.216299937646795,17.21629993764677,4.517934134195464,0.21265185023473
5m,DEVELOPMENT,2024-02,46,25,21,0.5434782608695652,5.734416565951197,1.7096597057809184,0.8548312864945207,3.1699255736757577,0.38622551132254257,20.386225511322532,20.386225511322568,20.386225511322532,0.9723187540451512,0.052297821996720305
5m,DEVELOPMENT,2024-03,70,25,45,0.35714285714285715,1.4978129236301458,2.6816484143504,1.340824581628293,-2.5246600723485475,-2.138434561026005,-3.446132268436486e-13,17.861565438974022,17.837949980079433,4.18306222502795,0.1961504616780976
5m,DEVELOPMENT,2024-04,52,12,40,0.23076923076923078,-2.1080567762997817,1.6312494976466414,0.8156242218090305,-4.554930495755453,-6.693365056781458,-4.3520742565306136e-13,13.306634943218564,13.260789530330097,4.686515136292293,0.2628990630867763
5m,DEVELOPMENT,2024-05,51,17,34,0.3333333333333333,0.29385268741768733,1.2973464737318139,0.6486733103290134,-1.65216709664314,-8.345532153424598,-4.938272013532696e-13,11.65446784657542,11.583112638995514,1.981661448448726,0.1466465103351929
5m,DEVELOPMENT,2024-06,23,6,17,0.2608695652173913,-0.442080782569818,0.5114286408496148,0.2557142099045849,-1.2092236333240176,-9.554755786748615,-5.222489107836736e-13,10.445244213251405,10.566723629545104,1.8914477967846892,0.15597652109201762
5m,DEVELOPMENT,2024-07,52,19,33,0.36538461538461536,0.7134714730798641,1.045758006797379,0.5228791817665103,-0.8551657154840253,-10.40992150223264,9.590078497767337,9.590078497767374,9.590078497767337,1.218413130504846,0.11392819926893714
5m,DEVELOPMENT,2024-08,50,11,39,0.22,-1.2411240393694052,0.8255605434403254,0.4127799614391031,-2.4794645442488337,-12.889386046481473,7.110613953518503,7.11061395351854,7.110613953518503,2.577934791192688,0.26608059257584243
5m,VALIDATION,2024-09,45,15,30,0.3333333333333333,0.3453662622996919,1.702160702805235,0.8510804377440903,-2.2078748782496334,-2.2078748782496334,17.792125121750374,17.792125121750374,17.792125121750374,2.533043120221535,0.12483192774818848
5m,VALIDATION,2024-10,35,14,21,0.4,1.4390248011946505,1.209612561274986,0.6048066403936256,-0.3753944004739613,-2.5832692787235945,17.41673072127639,17.416730721276423,17.41673072127639,1.479498472302751,0.08278482694074803
5m,VALIDATION,2024-11,58,26,32,0.4482758620689655,4.0228707757061715,2.1079359308110415,1.0539689711231024,0.8609658737720282,-1.7223034049515662,-2.7355895326763857e-13,18.27769659504845,18.154835649538796,1.2669361197502766,0.0665758819193945
5m,VALIDATION,2024-12,53,13,40,0.24528301886792453,-1.847613470478867,1.7171894672094237,0.8585942717012536,-4.423397209389544,-6.145700614341111,13.854299385658894,13.85429938565891,13.854299385658894,4.5688312901268056,0.24956348961773592
15m,DEVELOPMENT,2024-01,29,11,18,0.3793103448275862,1.0398962837244583,1.1593338226423038,0.5796671712951618,-0.6991047102130071,-0.6991047102130071,19.30089528978698,19.300895289787004,19.30089528978698,2.863404161352289,0.1351477827020937
15m,DEVELOPMENT,2024-02,39,18,21,0.46153846153846156,3.2169271774773893,1.513473675404522,0.7567376419339649,0.9467158601389024,0.24761114992589528,20.247611149925866,20.24761114992592,20.247611149925866,1.5467225404808431,0.07773660165630014
15m,DEVELOPMENT,2024-03,37,12,25,0.32432432432432434,0.07161172619341014,1.4069448698485674,0.7034724528271472,-2.0388055964823044,-1.7911944465564091,-2.3092638912203256e-13,18.20880555344361,18.423023933544076,2.529583099554639,0.12385475836343587
15m,DEVELOPMENT,2024-04,24,5,19,0.20833333333333334,-1.340719494108042,0.8173968446334255,0.4086980871367849,-2.566814425878252,-4.358008872434661,15.64199112756532,15.641991127565356,15.64199112756532,2.748169630270027,0.14943695525332137
15m,DEVELOPMENT,2024-05,32,12,20,0.375,0.8503798834349224,1.0096068241140699,0.5048036246519704,-0.6640305653311179,-5.0220394377657795,14.977960562234196,14.977960562234237,14.977960562234196,1.553708174633604,0.09398374715606476
