timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,2,2,0,1.0,0.8263193517707067,0.08140312235696175,0.040701767758313204,0.7042144616554319,0.7042144616554319,20.70421446165543,20.704214461655432,20.70421446165543,0.3263914589138004,0.016070810093532402
5m,DEVELOPMENT,2024-02,1,0,1,0.0,-0.1964987121404709,0.04114998820433147,0.02057494497748509,-0.2582236453222875,0.4459908163331444,20.44599081633314,20.445990816333143,20.44599081633314,0.3805277550277175,0.018271308943156355
5m,DEVELOPMENT,2024-03,0,0,0,,0.0,0.0,0.0,0.0,0.4459908163331444,20.44599081633314,20.445990816333143,20.44599081633314,0.0,0.0
5m,DEVELOPMENT,2024-04,2,1,1,0.5,0.21944873311314003,0.08137152727257942,0.04068581849846495,0.09739138734209568,0.54338220367524,20.543382203675232,20.543382203675236,20.543382203675232,0.30304194967339626,0.014821582988842648
5m,DEVELOPMENT,2024-05,2,0,2,0.0,-0.3875128829913044,0.0811514253219091,0.040575615782730626,-0.5092399240959442,0.03414227957929583,20.034142279579285,20.03414227957929,20.034142279579285,0.5092399240959473,0.02478851432773537
5m,DEVELOPMENT,2024-06,1,0,1,0.0,-0.19013921847008872,0.03981820802790653,0.019909056479146064,-0.2498664829771413,-0.21572420339784548,19.78427579660214,19.78427579660215,19.78427579660214,0.34117523197456023,0.0169524266308425
5m,DEVELOPMENT,2024-07,2,0,2,0.0,-0.3731937455977816,0.07815276783239636,0.039076290617758386,-0.4904228040479364,-0.7061470074457818,19.293852992554203,19.29385299255421,19.293852992554203,0.5886199412887549,0.029604966306119564
5m,DEVELOPMENT,2024-08,2,0,2,0.0,-0.36394282708801146,0.07621547682723084,0.03810764742790612,-0.4782659513431484,-1.1844129587889303,18.815587041211053,18.81558704121106,18.815587041211053,0.6853450362062183,0.03514421943963749
5m,VALIDATION,2024-09,0,0,0,,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0
5m,VALIDATION,2024-10,0,0,0,,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0
