timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,1,CLOSED,BTCUSDT,LONG,2024-01-03 11:30:00+00:00,2024-01-03 11:35:00+00:00,44494.01,44516.257005,2024-01-03 11:50:00+00:00,44071.09443495,44049.05888773253,0.000448825245522683,19.980019980019982,0.19980019980019983,44071.09443495,45406.5821451,SL,-0.18981518231893196,0.019980019980019983,0.019770329670329673,0.009985017481268208,0.009890109890107914,0.019875127371376124,-0.24944065934065776,-1.248450499999992,0 days 00:15:00
5m,DEVELOPMENT,2,CLOSED,BTCUSDT,LONG,2024-01-03 12:10:00+00:00,2024-01-03 12:15:00+00:00,41883.98,41904.92199,2024-01-03 12:50:00+00:00,42743.0204298,42721.6489195851,0.0004708475180279699,19.7308285121472,0.197308285121472,41485.8727701,42743.0204298,TP,0.40447705425701025,0.0197308285121472,0.020115382359848947,0.00986048401406626,0.010062722541195022,0.01992320655526128,0.3447076368297528,1.7470510000000001,0 days 00:35:00
5m,DEVELOPMENT,3,CLOSED,BTCUSDT,LONG,2024-01-05 01:50:00+00:00,2024-01-05 01:55:00+00:00,43332.98,43354.64649,2024-01-05 09:00:00+00:00,44221.7394198,44199.6285500901,0.0004630459111305142,20.0751917857034,0.200751917857034,42921.1000251,44221.7394198,TP,0.4115364153171151,0.0200751917857034,0.02046645727360676,0.01003257960304831,0.010238347810707385,0.020270927413755697,0.3507238388440493,1.7470510000000008,0 days 07:05:00
5m,DEVELOPMENT,4,CLOSED,BTCUSDT,LONG,2024-01-10 13:00:00+00:00,2024-01-10 13:05:00+00:00,44700.13,44722.480064999996,2024-01-10 15:55:00+00:00,45616.9296663,45594.12120146685,0.0004567180805133213,20.425565251082077,0.20425565251082078,44275.255264349995,45616.9296663,TP,0.4187189838077901,0.02042556525108208,0.02082365951782567,0.010207678786147381,0.01041703827805169,0.02062471706419907,0.3568450419746833,1.7470510000000066,0 days 02:50:00
5m,DEVELOPMENT,5,CLOSED,BTCUSDT,LONG,2024-01-11 15:55:00+00:00,2024-01-11 16:00:00+00:00,46783.77,46807.161884999994,2024-01-11 16:05:00+00:00,46339.09026614999,46315.92072101692,0.00044399303370630636,20.78205380450334,0.20782053804503342,46339.09026614999,47743.305122699996,SL,-0.19743470405977603,0.02078205380450334,0.02056394614982508,0.01038583398525783,0.010287116633228835,0.020672950618486667,-0.2594536546325911,-1.2484505000000006,0 days 00:05:00
5m,DEVELOPMENT,6,CLOSED,BTCUSDT,LONG,2024-01-11 16:15:00+00:00,2024-01-11 16:20:00+00:00,46278.62,46301.75931,2024-01-11 16:30:00+00:00,45838.741716900004,45815.822346041554,0.0004432414588596099,20.522859344330925,0.20522859344330927,45838.741716900004,47227.794496200004,SL,-0.19497229192190402,0.020522859344330926,0.020307471935512172,0.010256301521404165,0.010158815375443737,0.020415116896847902,-0.25621774009859505,-1.2484504999999946,0 days 00:10:00
5m,DEVELOPMENT,7,CLOSED,BTCUSDT,LONG,2024-01-11 16:30:00+00:00,2024-01-11 16:35:00+00:00,46204.08,46227.18204,2024-01-11 17:25:00+00:00,45764.9102196,45742.0277644902,0.0004384194898247068,20.26689756601065,0.2026689756601065,45764.9102196,47151.7256808,SL,-0.19254059106939633,0.020266897566010647,0.02005419647605537,0.010128384590709067,0.010032114295175492,0.02016049888588456,-0.25302218399734694,-1.248450499999996,0 days 00:50:00
5m,DEVELOPMENT,8,CLOSED,BTCUSDT,LONG,2024-01-12 15:25:00+00:00,2024-01-12 15:30:00+00:00,44941.56,44964.030779999994,2024-01-12 15:35:00+00:00,44514.39047219999,44492.1332769639,0.0004451141902591654,20.014128151427887,0.20014128151427887,44514.39047219999,45863.311395599994,SL,-0.19013921847008894,0.020014128151427887,0.019804079876478652,0.010002063044190074,0.009906993434954965,0.019909056479145038,-0.2498664829771405,-1.2484504999999915,0 days 00:05:00
5m,DEVELOPMENT,9,CLOSED,BTCUSDT,LONG,2024-01-12 15:40:00+00:00,2024-01-12 15:45:00+00:00,44525.97,44548.232984999995,2024-01-12 16:15:00+00:00,44102.75065515,44080.699279822424,0.0004436654376835068,19.764511285316857,0.19764511285316858,44102.75065515,45439.1976447,SL,-0.18776779586900394,0.01976451128531686,0.01955708273937746,0.009877316984163654,0.009783433086231235,0.01966075007039489,-0.24675013996409315,-1.248450499999992,0 days 00:30:00
5m,DEVELOPMENT,10,CLOSED,BTCUSDT,LONG,2024-01-12 16:40:00+00:00,2024-01-12 16:45:00+00:00,43571.45,43593.23572499999,2024-01-12 22:00:00+00:00,43157.30336774999,43135.72471606612,0.000447730188511697,19.51800764898909,0.1951800764898909,43157.30336774999,44465.10043949999,SL,-0.1854259497287794,0.019518007648989092,0.019313166158712952,0.009754126761111426,0.009661413786247677,0.019415540547359104,-0.24367266408384056,-1.2484504999999897,0 days 05:15:00
5m,DEVELOPMENT,11,CLOSED,BTCUSDT,LONG,2024-01-12 22:05:00+00:00,2024-01-12 22:10:00+00:00,42667.06,42688.393529999994,2024-01-12 22:20:00+00:00,42261.50959469999,42240.378839902645,0.0004515180080645238,19.2745784141401,0.19274578414140103,42261.50959469999,43542.161400599995,SL,-0.18311331117081814,0.0192745784141401,0.019072291713683704,0.009632472970583065,0.009540916314998605,0.01917338928558167,-0.2406335705842236,-1.248450499999997,0 days 00:10:00
5m,DEVELOPMENT,12,CLOSED,BTCUSDT,LONG,2024-01-16 14:45:00+00:00,2024-01-16 14:50:00+00:00,42250.69,42271.815345,2024-01-16 15:30:00+00:00,43117.251651900006,43095.693026074056,0.00045028076228537675,19.034185236733286,0.19034185236733286,41849.097191550005,43117.251651900006,TP,0.3901960411848087,0.019034185236733288,0.019405161506997223,0.009512336450141743,0.009707434470733977,0.01921977092087572,0.33253692352020253,1.7470510000000068,0 days 00:40:00
5m,DEVELOPMENT,13,CLOSED,BTCUSDT,LONG,2024-01-18 16:50:00+00:00,2024-01-18 16:55:00+00:00,41891.19,41912.135595,2024-01-18 18:10:00+00:00,41493.01423905,41472.26773193047,0.00046207118011531355,19.36638995553469,0.1936638995553469,41493.01423905,42750.3783069,SL,-0.183985543755482,0.01936638995553469,0.01916313969295135,0.009678355799866215,0.009586363027989963,0.01926471882785618,-0.24177979223182425,-1.2484505000000083,0 days 01:15:00
5m,DEVELOPMENT,14,CLOSED,BTCUSDT,LONG,2024-01-22 19:35:00+00:00,2024-01-22 19:40:00+00:00,39816.71,39836.618355,2024-01-22 19:40:00+00:00,39438.252171449996,39418.533045364275,0.0004800822080611276,19.124851701556842,0.19124851701556844,39438.252171449996,40633.350722099996,SL,-0.18169086998830503,0.019124851701556842,0.018924136382949003,0.009557647027264585,0.009466801592269031,0.019024448619533618,-0.2387643066923445,-1.2484504999999977,0 days 00:00:00
5m,DEVELOPMENT,15,CLOSED,BTCUSDT,LONG,2024-01-31 20:10:00+00:00,2024-01-31 20:15:00+00:00,42908.51,42929.964255,2024-01-31 21:00:00+00:00,42500.66461245,42479.41428014378,0.000439933418263812,18.88632592064541,0.1888632592064541,42500.66461245,43788.563540099996,SL,-0.179424815468003,0.018886325920645413,0.01868811393010824,0.009438443738452124,0.00934873133071693,0.018787175069169056,-0.2357864303879257,-1.248450499999992,0 days 00:45:00
5m,DEVELOPMENT,16,CLOSED,BTCUSDT,LONG,2024-02-13 14:25:00+00:00,2024-02-13 14:30:00+00:00,48966.4,48990.8832,2024-02-13 15:10:00+00:00,48500.974367999996,48476.723880816,0.00038069889381249207,18.650775041137,0.18650775041137,48500.974367999996,49970.700864,SL,-0.17718702325438224,0.018650775041136998,0.018455035157080267,0.009320727156988149,0.009232133645362515,0.018552860802350662,-0.23284569425495016,-1.2484505000000006,0 days 00:40:00
5m,DEVELOPMENT,17,CLOSED,BTCUSDT,LONG,2024-02-29 17:50:00+00:00,2024-02-29 17:55:00+00:00,60814.3,60844.70715,2024-02-29 20:20:00+00:00,62061.601293,62030.5704923535,0.00030270770988439583,18.418161959963225,0.18418161959963225,60236.2600785,62061.601293,TP,0.3775677179398748,0.018418161959963226,0.01877713193656291,0.009204478740611031,0.009393262599580758,0.01859774134019179,0.32177468270315696,1.747050999999999,0 days 02:25:00
5m,DEVELOPMENT,18,CLOSED,BTCUSDT,LONG,2024-03-05 05:05:00+00:00,2024-03-05 05:10:00+00:00,66497.85,66531.098925,2024-03-05 08:05:00+00:00,65865.78793574999,65832.85504178212,0.0002816670022324738,18.739615189436908,0.1873961518943691,65865.78793574999,67861.7209035,SL,-0.1780310268621708,0.01873961518943691,0.01854294292802377,0.009365125032200269,0.009276109518769053,0.018641234550969322,-0.2339548195306008,-1.2484504999999988,0 days 02:55:00
5m,DEVELOPMENT,19,CLOSED,BTCUSDT,LONG,2024-03-05 17:10:00+00:00,2024-03-05 17:15:00+00:00,64199.99,64232.089994999995,2024-03-05 17:55:00+00:00,65516.7317949,65483.97342900255,0.00028810979204390354,18.505894091004745,0.18505894091004746,63589.76909505,65516.7317949,TP,0.37936620470415555,0.018505894091004744,0.01886657396683843,0.009248322884059437,0.00943800598641162,0.01868632887047106,0.3233074077758413,1.7470510000000108,0 days 00:40:00
5m,DEVELOPMENT,20,CLOSED,BTCUSDT,LONG,2024-03-05 19:25:00+00:00,2024-03-05 19:30:00+00:00,63243.87,63275.491935,2024-03-05 19:35:00+00:00,62642.73701565,62611.415647142174,0.00029756984795470696,18.828878514357235,0.18828878514357236,62642.73701565,64541.0017737,SL,-0.17887905075359056,0.018828878514357234,0.01863126943434906,0.00940973438998231,0.009320294864606126,0.018730029254588436,-0.2350692279568853,-1.248450499999999,0 days 00:05:00
5m,DEVELOPMENT,21,CLOSED,BTCUSDT,LONG,2024-03-05 19:40:00+00:00,2024-03-05 19:45:00+00:00,62330.0,62361.16499999999,2024-03-05 19:45:00+00:00,61737.553349999995,61706.684573325,0.0002981670422737279,18.594044120793917,0.18594044120793918,61737.553349999995,63608.38829999999,SL,-0.17664806533548005,0.018594044120793917,0.018398899627746185,0.00929237587245882,0.009204051839791073,0.018496427712249894,-0.23213743679627002,-1.248450499999988,0 days 00:00:00
5m,DEVELOPMENT,22,CLOSED,BTCUSDT,LONG,2024-03-05 19:55:00+00:00,2024-03-05 20:00:00+00:00,61410.98,61441.685489999996,2024-03-05 20:05:00+00:00,62670.519199799994,62639.1839402001,0.00029885473425883573,18.36213858952891,0.18362138589528912,60827.268635099994,62670.519199799994,TP,0.37641925284481276,0.018362138589528912,0.01872001667063883,0.009176481054235248,0.00936469068065823,0.018541171734893478,0.32079592584975153,1.7470510000000044,0 days 00:05:00
5m,DEVELOPMENT,23,CLOSED,BTCUSDT,LONG,2024-03-08 16:05:00+00:00,2024-03-08 16:10:00+00:00,66916.01,66949.46800499999,2024-03-08 16:10:00+00:00,66279.97332494998,66246.83333828751,0.00027905545177047547,18.682614039928264,0.18682614039928264,66279.97332494998,68288.4573651,SL,-0.17748950169867184,0.018682614039928266,0.01848654000557922,0.009336638700611912,0.00924789394976327,0.01858453265037518,-0.23324318839455452,-1.2484504999999995,0 days 00:00:00
5m,DEVELOPMENT,24,CLOSED,BTCUSDT,LONG,2024-03-12 16:30:00+00:00,2024-03-12 16:35:00+00:00,70664.79,70700.12239499998,2024-03-12 17:05:00+00:00,69993.12117104998,69958.12461046445,0.0002609557556157316,18.44960386171193,0.18449603861711927,69993.12117104998,72114.12484289998,SL,-0.17527584678218505,0.01844960386171193,0.01825597526918326,0.00922019183493598,0.009132553911547407,0.018352745746483386,-0.23033417165956363,-1.2484505000000095,0 days 00:30:00
5m,DEVELOPMENT,25,CLOSED,BTCUSDT,LONG,2024-03-12 17:20:00+00:00,2024-03-12 17:25:00+00:00,69536.46,69571.22823000001,2024-03-12 17:55:00+00:00,70962.65279460001,70927.17146820272,0.00026188268135624883,18.219499794119955,0.18219499794119956,68875.51594770001,70962.65279460001,TP,0.37349519318081165,0.018219499794119954,0.01857459784510736,0.009105197298411163,0.009291944894998584,0.018397142193409745,0.3183039533481746,1.7470510000000217,0 days 00:30:00
5m,DEVELOPMENT,26,CLOSED,BTCUSDT,LONG,2024-03-14 19:40:00+00:00,2024-03-14 19:45:00+00:00,68990.01,69024.50500499998,2024-03-14 20:15:00+00:00,70404.99510509998,70369.79260754744,0.0002685638348316723,18.537485761500754,0.18537485761500755,68334.25995494999,70404.99510509998,TP,0.3800138260553491,0.018537485761500754,0.018898781358992405,0.00926411082533496,0.00945411773836321,0.01871822856369817,0.32385933037115777,1.7470510000000066,0 days 00:30:00
5m,DEVELOPMENT,27,CLOSED,BTCUSDT,LONG,2024-03-15 02:55:00+00:00,2024-03-15 03:00:00+00:00,69035.39,69069.907695,2024-03-15 03:20:00+00:00,68379.20861805,68345.01901374098,0.00027307147476386006,18.861021556077336,0.18861021556077337,68379.20861805,70451.3058489,SL,-0.17918441768167284,0.018861021556077336,0.018663075134846305,0.00942579787909974,0.00933620567025793,0.01876200354935767,-0.23547051792195414,-1.248450499999994,0 days 00:20:00
5m,DEVELOPMENT,28,CLOSED,BTCUSDT,LONG,2024-03-15 03:30:00+00:00,2024-03-15 03:35:00+00:00,68067.29,68101.323645,2024-03-15 04:05:00+00:00,67420.31040855,67386.60025334572,0.0002735010903830726,18.625786273438024,0.18625786273438025,67420.31040855,69463.3501179,SL,-0.1769496237171696,0.018625786273438024,0.018430308646498292,0.009308239017211272,0.009219764205351325,0.018528003222562595,-0.23253372185966853,-1.2484505000000008,0 days 00:30:00
5m,DEVELOPMENT,29,CLOSED,BTCUSDT,LONG,2024-03-15 09:00:00+00:00,2024-03-15 09:05:00+00:00,67149.51,67183.08475499999,2024-03-15 09:05:00+00:00,66511.25390745,66477.99828049628,0.0002737814871120501,18.3934848529988,0.183934848529988,66511.25390745,68526.74645009999,SL,-0.17474270217666532,0.018393484852998798,0.01820044522946658,0.009192146353321147,0.009104775002232017,0.018296921355553164,-0.22963355361468385,-1.2484504999999786,0 days 00:00:00
5m,DEVELOPMENT,30,CLOSED,BTCUSDT,LONG,2024-03-15 20:10:00+00:00,2024-03-15 20:15:00+00:00,67915.91,67949.867955,2024-03-15 23:25:00+00:00,69308.8653141,69274.21088144295,0.0002673159087750222,18.164080703533582,0.18164080703533583,67270.36927545,69308.8653141,TP,0.372359115671636,0.01816408070353358,0.018518098636445456,0.00907750160096384,0.00926368115880047,0.01834118275976431,0.31733575357189264,1.7470510000000117,0 days 03:10:00
5m,DEVELOPMENT,31,CLOSED,BTCUSDT,LONG,2024-03-19 00:55:00+00:00,2024-03-19 01:00:00+00:00,67086.96,67120.50348,2024-03-19 01:20:00+00:00,66449.2984452,66416.0737959774,0.00027534208595258054,18.48109943837064,0.1848109943837064,66449.2984452,68462.9135496,SL,-0.17557506263040099,0.018481099438370643,0.01828714029976494,0.009235931753306737,0.009148144221992581,0.01838407597529932,-0.2307273783438359,-1.2484505000000024,0 days 00:20:00
