timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,53,17,36,0.32075471698113206,0.16769384210068303,2.056754451353544,1.0283772676001288,-2.9174378768529903,-2.9174378768529903,17.08256212314698,17.082562123147014,17.08256212314698,4.414059226350773,0.20676219816882205
5m,DEVELOPMENT,2024-02,46,23,23,0.5,4.476935460414347,1.6693394736425102,0.8346708560550361,1.9729251307168005,-0.9445127461361897,19.055487253863788,19.05548725386382,19.055487253863788,1.9217352807252794,0.10106262297919555
5m,DEVELOPMENT,2024-03,77,27,50,0.35064935064935066,1.3448057233114734,2.7786997946650787,1.3893502335338106,-2.8232443048874156,-3.7677570510236054,-4.050093593832571e-13,16.232242948976413,16.278951524030862,3.4080341972897337,0.1743455341450827
5m,DEVELOPMENT,2024-04,49,14,35,0.2857142857142857,-0.7028126560641882,1.4667197219149217,0.7333596852542184,-2.902892063233328,-6.670649114256934,-4.956035581926699e-13,13.329350885743084,13.283427209509393,3.1233002138156998,0.19101934495080009
5m,DEVELOPMENT,2024-05,47,17,30,0.3617021276595745,0.7801851558768487,1.222758395643841,0.6113793928681425,-1.0539526326351347,-7.724601746892068,-5.577760475716786e-13,12.275398253107953,12.20024136031734,1.621017173097698,0.11774725575607144
5m,DEVELOPMENT,2024-06,23,5,18,0.21739130434782608,-0.8020650293610708,0.5301100408922911,0.2650548199298603,-1.5972298901832223,-9.32183163707529,-5.861977570020827e-13,10.678168362924731,10.728485314735606,2.1978002707589948,0.17374690658368858
5m,DEVELOPMENT,2024-07,53,20,33,0.37735849056603776,0.9941699831992722,1.1315311031429887,0.5657658001139241,-0.7031269200576404,-10.02495855713293,9.975041442867044,9.975041442867091,9.975041442867044,1.5725852163589131,0.13703153702057533
5m,DEVELOPMENT,2024-08,63,17,46,0.2698412698412698,-0.813511710226259,1.0976546130978788,0.5488271031709508,-2.459993426495089,-12.484951983628019,-7.061018436615996e-13,7.515048016372004,7.483356353092733,2.6161861330688234,0.25960757717531113
5m,VALIDATION,2024-09,42,14,28,0.3333333333333333,0.30183523425165193,1.5802780792040598,0.7901391150607481,-2.0685819600131556,-2.0685819600131556,17.93141803998684,17.931418039986845,17.93141803998684,2.3841965652377652,0.11749656016246982
5m,VALIDATION,2024-10,31,13,18,0.41935483870967744,1.635267222004575,1.101837021489113,0.5509189195612921,-0.01748871904583013,-2.086070679058986,17.913929320941026,17.913929320941016,17.913929320941026,1.1367552891916262,0.061444902238342994
