timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,1,CLOSED,BTCUSDT,LONG,2024-01-01 07:30:00+00:00,2024-01-01 07:35:00+00:00,42495.22,42516.46761,2024-01-01 19:30:00+00:00,43366.7969622,43345.11356371891,0.00046993602957082496,19.980019980019982,0.19980019980019983,42091.3029339,43366.7969622,TP,0.40958541708166935,0.019980019980019983,0.020369430569430573,0.009985017481268666,0.010189810189807667,0.020174827671076333,0.34906113886114243,1.7470510000000175,0 days 11:55:00
5m,DEVELOPMENT,2,CLOSED,BTCUSDT,LONG,2024-01-01 19:30:00+00:00,2024-01-01 19:35:00+00:00,43368.0,43389.684,2024-01-02 00:00:00+00:00,44257.47768,44235.34894116001,0.00046851533665132685,20.32873240645469,0.20328732406454691,42955.78716,44257.47768,TP,0.41673393468904285,0.02032873240645469,0.020724939401056495,0.01015928655994789,0.010367653527289168,0.02052694008723706,0.3551533227942946,1.747051000000019,0 days 04:25:00
5m,DEVELOPMENT,3,CLOSED,BTCUSDT,LONG,2024-01-02 00:00:00+00:00,2024-01-02 00:05:00+00:00,44264.63,44286.76231499999,2024-01-02 00:55:00+00:00,45172.49756129999,45149.91131251935,0.0004670364201295242,20.683530930724718,0.2068353093072472,43843.89469184999,45172.49756129999,TP,0.42400721578127065,0.020683530930724718,0.021086652948564547,0.010336597166776769,0.010548600774666983,0.02088519794144375,0.3613518339605376,1.7470510000000101,0 days 00:50:00
5m,DEVELOPMENT,4,CLOSED,BTCUSDT,LONG,2024-01-02 01:00:00+00:00,2024-01-02 01:05:00+00:00,45127.98,45150.54399,2024-01-02 01:45:00+00:00,44699.0385501,44676.68903082495,0.00046609674910014616,21.044521773842142,0.21044521773842143,44699.0385501,46053.5548698,SL,-0.19992821535269553,0.021044521773842143,0.02082365951782567,0.010517002385725924,0.010417038278051304,0.02093404066377723,-0.26273043730814055,-1.2484504999999975,0 days 00:40:00
5m,DEVELOPMENT,5,CLOSED,BTCUSDT,LONG,2024-01-02 02:00:00+00:00,2024-01-02 02:05:00+00:00,44948.04,44970.514019999995,2024-01-02 09:05:00+00:00,45869.924300399995,45846.9893382498,0.0004621262233129205,20.782053804503338,0.2078205380450334,44520.808879799995,45869.924300399995,TP,0.42602691007532295,0.020782053804503337,0.02118709603315311,0.01038583398525636,0.010598847440295297,0.020984681425551654,0.36307307881211487,1.747051000000006,0 days 07:00:00
5m,DEVELOPMENT,6,CLOSED,BTCUSDT,LONG,2024-01-02 09:25:00+00:00,2024-01-02 09:30:00+00:00,45831.12,45854.03556,2024-01-02 11:35:00+00:00,45395.495204399995,45372.797456797794,0.00046113202283535313,21.144764172947013,0.21144764172947014,45395.495204399995,46771.1162712,SL,-0.2008805431922689,0.021144764172947014,0.020922849872951933,0.01056709853720214,0.010466658265608888,0.021033756802811027,-0.26398191404097887,-1.2484505000000048,0 days 02:05:00
5m,DEVELOPMENT,7,CLOSED,BTCUSDT,LONG,2024-01-02 13:40:00+00:00,2024-01-02 13:45:00+00:00,45662.48,45685.31124,2024-01-02 14:45:00+00:00,45228.4581276,45205.84389853621,0.0004570625746075551,20.881045977101877,0.20881045977101878,45228.4581276,46599.0174648,SL,-0.19837515443513604,0.020881045977101876,0.020661899399572196,0.010435305335882779,0.010336117758662907,0.020771423094545688,-0.26068952290635583,-1.2484504999999884,0 days 01:00:00
5m,DEVELOPMENT,8,CLOSED,BTCUSDT,LONG,2024-01-03 00:45:00+00:00,2024-01-03 00:50:00+00:00,45186.24,45208.833119999996,2024-01-03 11:10:00+00:00,44756.744788799995,44734.366416405595,0.0004561192019390333,20.620616883289337,0.20620616883289336,44756.744788799995,46113.0097824,SL,-0.19590101296918186,0.02062061688328934,0.020404203509099217,0.010305155863711776,0.010207205357228119,0.020512361220939895,-0.25743819458251027,-1.2484505000000006,0 days 10:20:00
5m,DEVELOPMENT,9,CLOSED,BTCUSDT,LONG,2024-01-03 21:50:00+00:00,2024-01-03 21:55:00+00:00,42940.0,42961.47,2024-01-04 15:10:00+00:00,43820.699400000005,43798.78905030001,0.0004739929958104413,20.363435869720398,0.20363435869720398,42531.8553,43820.699400000005,TP,0.4174453470144605,0.0203634358697204,0.020760319234821252,0.010176629620050726,0.01038535229355551,0.020561981913606236,0.3557596099963126,1.7470510000000183,0 days 17:15:00
5m,DEVELOPMENT,10,CLOSED,BTCUSDT,LONG,2024-01-04 15:15:00+00:00,2024-01-04 15:20:00+00:00,43888.62,43910.56431,2024-01-05 01:45:00+00:00,43471.4586669,43449.72293756655,0.0004718418084823497,20.718840075510922,0.20718840075510922,43471.4586669,44788.7755962,SL,-0.19683415783881397,0.020718840075510923,0.020501395848918434,0.010354242916296816,0.010255825837377837,0.020610068753674653,-0.258664462516918,-1.2484505000000072,0 days 10:25:00
5m,DEVELOPMENT,11,CLOSED,BTCUSDT,LONG,2024-01-05 06:45:00+00:00,2024-01-05 06:50:00+00:00,43767.34,43789.22366999999,2024-01-05 14:40:00+00:00,43351.331433299994,43329.65576758335,0.0004672481561500694,20.46043401905047,0.20460434019050472,43351.331433299994,44665.008143399995,SL,-0.19437923573320914,0.020460434019050473,0.02024570176402054,0.010225104457294541,0.010127914839429016,0.020353019296723555,-0.25543839081300374,-1.2484504999999904,0 days 07:50:00
5m,DEVELOPMENT,12,CLOSED,BTCUSDT,LONG,2024-01-05 20:05:00+00:00,2024-01-05 20:10:00+00:00,43654.23,43676.057115,2024-01-08 02:50:00+00:00,43239.29654385,43217.67689557808,0.00046261618255155705,20.205250811445072,0.20205250811445072,43239.29654385,44549.5782573,SL,-0.19195493149703688,0.020205250811445072,0.019993196704178956,0.010097576617413851,0.010001599151664957,0.020099175769078808,-0.2522525547817397,-1.2484504999999981,2 days 06:40:00
5m,DEVELOPMENT,13,CLOSED,BTCUSDT,LONG,2024-01-08 06:25:00+00:00,2024-01-08 06:30:00+00:00,44146.8,44168.873400000004,2024-01-08 09:50:00+00:00,43727.184666,43705.321073667,0.0004517491328456107,19.95325025721756,0.1995325025721756,43727.184666,45052.250868,SL,-0.18956086326322216,0.019953250257217562,0.019743840895768063,0.009971639308954814,0.009876858877322814,0.019848498186277628,-0.2491064526024854,-1.2484505000000075,0 days 03:20:00
5m,DEVELOPMENT,14,CLOSED,BTCUSDT,LONG,2024-01-08 10:20:00+00:00,2024-01-08 10:25:00+00:00,43955.45,43977.427724999994,2024-01-08 12:00:00+00:00,44856.97627949999,44834.547791360244,0.00044805696198117257,19.704392662210086,0.19704392662210088,43537.653447749995,44856.97627949999,TP,0.403935125938957,0.019704392662210087,0.020088431275196564,0.009847272694756326,0.010049240257725828,0.019896512952482154,0.34424578904906816,1.747051000000001,0 days 01:35:00
