timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,66,22,44,0.3333333333333333,0.6118881574877497,2.509988227582678,1.2549942667632472,-3.153094336858176,-3.153094336858176,16.84690566314183,16.846905663141815,16.84690566314183,4.863699063622725,0.22729718692489412
5m,DEVELOPMENT,2024-02,78,32,46,0.41025641025641024,3.6159159260395737,2.6730164913802317,1.336509149668956,-0.3936097150096135,-3.5467040518677893,16.45329594813225,16.45329594813218,16.45329594813225,2.108094920578136,0.11707846806886163
5m,DEVELOPMENT,2024-03,91,31,60,0.34065934065934067,0.8563095939384943,2.7074800770726255,1.3537402526135676,-3.204910735747699,-6.751614787615488,-4.938272013532696e-13,13.248385212384484,13.248613165263079,4.307486823232187,0.250640527895177
5m,DEVELOPMENT,2024-04,70,19,51,0.2714285714285714,-1.161351197452035,1.588615183630391,0.7943073014773061,-3.544273682559732,-10.295888470175221,-5.808686864838819e-13,9.70411152982475,9.717013536651828,3.563924119003538,0.2691795018968161
5m,DEVELOPMENT,2024-05,62,22,40,0.3548387096774194,0.5791896014911834,1.1255019122066778,0.5627511009006818,-1.1090634116161762,-11.404951881791398,-6.394884621840902e-13,8.59504811820857,8.542424399072974,1.22790634546039,0.12616835759024422
5m,DEVELOPMENT,2024-06,26,7,19,0.2692307692307692,-0.31901248908669344,0.42174466371531344,0.21087225210451133,-0.9516294049065182,-12.356581286697915,-6.67021993194794e-13,7.643418713302053,7.732312570144889,1.3673417704447317,0.15438077550481086
5m,DEVELOPMENT,2024-07,67,24,43,0.3582089552238806,0.5624677793391177,0.97107388419711,0.4855370827154476,-0.8941431875734398,-13.250724474271355,6.749275525728671,6.749275525728615,6.749275525728671,1.074222404698804,0.1373071756714977
5m,DEVELOPMENT,2024-08,83,23,60,0.27710843373493976,-0.577504145493954,0.9597938441412337,0.4798967776945237,-2.0171947673297113,-15.267919241601065,-7.780442956573097e-13,4.732080758398901,4.733498912554268,2.1283564278301617,0.3108046965104166
5m,VALIDATION,2024-09,54,18,36,0.3333333333333333,0.3400128525922594,1.9728718099823555,0.9864359899942758,-2.619294947384372,-2.619294947384372,17.380705052615614,17.38070505261563,17.380705052615614,2.7274006428994433,0.13610767929736492
5m,VALIDATION,2024-10,41,14,27,0.34146341463414637,0.3785051086212008,1.319579307818586,0.6597897485354977,-1.6008639477328825,-4.220158895117255,-1.794120407794253e-13,15.779841104882754,15.691908368325702,2.287125038230595,0.13076992235071921
5m,VALIDATION,2024-11,80,32,48,0.4,3.1099176297772955,2.57374371593219,1.2868726354453421,-0.7506987216002361,-4.970857616717491,-3.2152058793144533e-13,15.02914238328252,14.928117911527732,3.141026395368595,0.17790120265222462
5m,VALIDATION,2024-12,58,16,42,0.27586206896551724,-0.9553808997612738,1.5815488254176424,0.7907741738635043,-3.3277038990424206,-8.29856151575991,11.701438484240098,11.7014384842401,11.701438484240098,3.540578703964096,0.2337914127332369
15m,DEVELOPMENT,2024-01,60,19,41,0.31666666666666665,-0.06718854826813797,2.2162489765968396,1.108124471501161,-3.3915619963661388,-3.3915619963661388,16.60843800363387,16.60843800363388,16.60843800363387,4.596768134387222,0.21677545148430236
15m,DEVELOPMENT,2024-02,62,25,37,0.4032258064516129,2.5954904103314123,2.0769345692487073,1.0384679334968454,-0.5199120924141408,-3.9114740887802797,16.08852591121973,16.088525911219723,16.08852591121973,2.445017186066055,0.13797515730401563
15m,DEVELOPMENT,2024-03,72,26,46,0.3611111111111111,1.321588623625347,2.164580202768287,1.0822904317811881,-1.9252820109241284,-5.836756099704408,-3.5349501104064984e-13,14.163243900295596,14.382316186505035,2.3345897820527544,0.1427120443780839
15m,DEVELOPMENT,2024-04,42,11,31,0.2619047619047619,-0.9166149739899397,1.0907256870124253,0.5453626143523959,-2.5527032753547605,-8.389459375059168,11.610540624940835,11.610540624940839,11.610540624940835,2.746255912383207,0.1912879281622914
15m,DEVELOPMENT,2024-05,50,17,33,0.34,0.39488316195826967,1.1386878179115933,0.5693440076765256,-1.3131486636298493,-9.702608038689018,10.29739196131098,10.29739196131098,10.29739196131098,1.894540792565735,0.1553929824591036
15m,DEVELOPMENT,2024-06,21,7,14,0.3333333333333333,0.09183380344729508,0.42592676216122966,0.2129634040390478,-0.5470563627529824,-10.249664401442,-5.293543381412746e-13,9.750335598558001,9.814213316946246,1.2055323107662677,0.11223706717402952
15m,DEVELOPMENT,2024-07,53,19,34,0.3584905660377358,0.573549071207343,0.9889813309314217,0.49449080885292157,-0.9099230685770002,-11.159587470019002,8.840412529980995,8.840412529981,8.840412529980995,1.1542074135940883,0.11634558684476366
15m,DEVELOPMENT,2024-08,56,15,41,0.26785714285714285,-0.7145442067348784,0.8503347266646791,0.42516718469623677,-1.9900461180957945,-13.149633588114796,-6.199485369506874e-13,6.850366411885202,6.822749214697157,2.088822794383683,0.23628114494654395
15m,VALIDATION,2024-09,43,16,27,0.37209302325581395,1.3163344137143764,1.6793987351339432,0.8396996966504788,-1.2027640180700456,-1.2027640180700456,18.797235981929937,18.797235981929955,18.797235981929937,1.753730875953174,0.0862727963511756
15m,VALIDATION,2024-10,37,15,22,0.40540540540540543,1.735793713531809,1.3631638518472982,0.6815823598720024,-0.3089524981874916,-1.5117165162575372,18.488283483742435,18.488283483742467,18.488283483742435,1.2841365632561832,0.0680462347347033
15m,VALIDATION,2024-11,73,28,45,0.3835616438356164,2.6440532834980086,2.7137540484226284,1.3568776852244837,-1.426578450149104,-2.938294966406641,-3.410605131648481e-13,17.06170503359336,16.958031008286795,4.121309800301731,0.19741471171056388
15m,VALIDATION,2024-12,56,16,40,0.2857142857142857,-0.8755261805680667,1.7097078008246531,0.8548536815306871,-3.440087662923407,-6.378382629330048,-4.3876013933186186e-13,13.62161737066995,13.522463556863833,3.59189031882393,0.21127300170428462
1h,DEVELOPMENT,2024-01,37,9,28,0.24324324324324326,-1.549333175999977,1.3368879901872397,0.6684436077602468,-3.5546647739474633,-3.5546647739474633,-9.947598300641403e-14,16.445335226052553,16.391412393991835,3.6085876060081645,0.18042938030040823
1h,DEVELOPMENT,2024-02,47,21,26,0.44680851063829785,3.010381424174037,1.5932097297024899,0.7966056174465126,0.6205660770250341,-2.934098696922429,17.065901303077528,17.06590130307759,17.065901303077528,1.1052402130633645,0.06082392853974595
1h,DEVELOPMENT,2024-03,51,18,33,0.35294117647058826,0.8778598472184003,1.6958951931913786,0.8479478160605607,-1.6659831620335388,-4.600081858955968,-2.7711166694643907e-13,15.399918141044056,15.598497882923954,2.8995721689296907,0.1622959204821641
1h,DEVELOPMENT,2024-04,26,6,20,0.23076923076923078,-0.9710305046944504,0.7578754369606004,0.37893747572263325,-2.1078434173776843,-6.707925276333652,13.292074723666307,13.292074723666374,13.292074723666307,2.4247288302751286,0.15427620647883322
1h,DEVELOPMENT,2024-05,36,14,22,0.3888888888888889,1.0193554099977773,0.9747232288364961,0.4873618692570528,-0.4427296880957713,-7.150654964429424,12.849345035570536,12.849345035570606,12.849345035570536,1.6573628649024315,0.11635024599343914
1h,DEVELOPMENT,2024-06,12,3,9,0.25,-0.30926138917179785,0.30112348449838927,0.15056166493382842,-0.7609465386040156,-7.911601503033439,-3.907985046680551e-13,12.088398496966592,12.045534701040257,1.299791329912095,0.0988382222042046
1h,DEVELOPMENT,2024-07,37,11,26,0.2972972972972973,-0.2765936399952839,0.8402477570885529,0.42012380939582344,-1.5369652064796602,-9.448566709513099,10.551433290486864,10.55143329048693,10.551433290486864,1.6717275403526184,0.1367672047752811
1h,DEVELOPMENT,2024-08,25,7,18,0.28,-0.296318663666873,0.5022753229557502,0.2511375873981781,-1.0497315740208013,-10.4982982835339,9.501701716466064,9.501701716466128,9.501701716466064,1.4269072296913166,0.13165650754674016
1h,VALIDATION,2024-09,30,11,19,0.36666666666666664,0.811407971215284,1.1674892539492217,0.5837448298265373,-0.9398261125604748,-0.9398261125604748,19.060173887439497,19.060173887439525,19.060173887439497,1.309917037250628,0.0649692812900268
1h,VALIDATION,2024-10,29,10,19,0.3448275862068966,0.4212253198731866,1.0856505058299026,0.5428253582212175,-1.2072505441779335,-2.1470766567384083,17.85292334326157,17.8529233432616,17.85292334326157,1.5537361359396193,0.08006200848759232
1h,VALIDATION,2024-11,58,23,35,0.39655172413793105,2.483817565602575,2.1375146650297485,1.068757953469162,-0.722455052896335,-2.8695317096347432,-2.3803181647963356e-13,17.13046829036527,17.063734379044373,2.763555660913081,0.13971880379322968
1h,VALIDATION,2024-12,28,8,20,0.2857142857142857,-0.46062778916736113,0.9089768471024299,0.45448830839421056,-1.8240929446640015,-4.693624654298745,-3.0020430585864233e-13,15.306375345701268,15.23076086570828,1.9603761440120735,0.11412829881993698
