timeframe,period_role,metric,value
5m,DEVELOPMENT,starting_capital,20.0
5m,DEVELOPMENT,ending_cash,0.0
5m,DEVELOPMENT,ending_realized_equity,5.853226150296592
5m,DEVELOPMENT,ending_mtm_equity,5.850856631857266
5m,DEVELOPMENT,total_net_pnl,-14.146773849703408
5m,DEVELOPMENT,total_gross_pnl,5.525683205436705
5m,DEVELOPMENT,total_fees,13.11497044914665
5m,DEVELOPMENT,total_slippage,6.5574866059934624
5m,DEVELOPMENT,signals,7000
5m,DEVELOPMENT,filled_trades,489
5m,DEVELOPMENT,closed_trades,488
5m,DEVELOPMENT,open_end_of_data,1
5m,DEVELOPMENT,ignored_signals,6511
5m,DEVELOPMENT,ignored_position_open,6511
5m,DEVELOPMENT,ignored_no_next_candle,0
5m,DEVELOPMENT,ignored_insufficient_cash,0
5m,DEVELOPMENT,tp_count,164
5m,DEVELOPMENT,sl_count,324
5m,DEVELOPMENT,win_count,164
5m,DEVELOPMENT,loss_count,324
5m,DEVELOPMENT,scratch_count,0
5m,DEVELOPMENT,win_rate,0.3360655737704918
5m,DEVELOPMENT,loss_rate,0.6639344262295082
5m,DEVELOPMENT,average_winning_trade,0.24085275665175782
5m,DEVELOPMENT,average_losing_trade,-0.16557600598948055
5m,DEVELOPMENT,median_winning_trade,0.26427805206037225
5m,DEVELOPMENT,median_losing_trade,-0.16067774454562778
5m,DEVELOPMENT,profit_factor,0.7362970438183838
5m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.028989290675621743
5m,DEVELOPMENT,average_R_per_closed_trade,-0.2417655696721257
5m,DEVELOPMENT,expectancy_per_trade,-0.028989290675621743
5m,DEVELOPMENT,expectancy_R,-0.2417655696721257
5m,DEVELOPMENT,median_R,-1.2484504999999912
5m,DEVELOPMENT,total_R,-117.98159799999735
5m,DEVELOPMENT,average_holding_time,0 days 08:23:17.336065574
5m,DEVELOPMENT,median_holding_time,0 days 03:55:00
5m,DEVELOPMENT,max_holding_time,3 days 01:50:00
5m,DEVELOPMENT,average_holding_candles,100.65778688333333
5m,DEVELOPMENT,median_holding_candles,47.0
5m,DEVELOPMENT,max_holding_candles,886.0
5m,DEVELOPMENT,max_consecutive_wins,5
5m,DEVELOPMENT,max_consecutive_losses,10
5m,DEVELOPMENT,max_drawdown,15.57429712782147
5m,DEVELOPMENT,max_drawdown_pct,0.7278398353144642
5m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-02 09:00:00+00:00
5m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-30 19:55:00+00:00
5m,DEVELOPMENT,largest_win_net_pnl,0.36480252255342194
5m,DEVELOPMENT,sum_of_winning_net_pnl,39.49985209088828
5m,DEVELOPMENT,months_with_closed_trades,8
5m,DEVELOPMENT,max_month_share_of_net,
5m,DEVELOPMENT,open_entry_fees,0.005847378771525846
5m,DEVELOPMENT,unresolved_reserved,5.853226150297371
15m,DEVELOPMENT,starting_capital,20.0
15m,DEVELOPMENT,ending_cash,6.1411082402855
15m,DEVELOPMENT,ending_realized_equity,6.141108240285012
15m,DEVELOPMENT,ending_mtm_equity,6.141108240284949
15m,DEVELOPMENT,total_net_pnl,-13.858891759714993
15m,DEVELOPMENT,total_gross_pnl,0.17267297037273183
15m,DEVELOPMENT,total_fees,9.354376457946668
15m,DEVELOPMENT,total_slippage,4.677188272141059
15m,DEVELOPMENT,signals,2150
15m,DEVELOPMENT,filled_trades,370
15m,DEVELOPMENT,closed_trades,370
15m,DEVELOPMENT,open_end_of_data,0
15m,DEVELOPMENT,ignored_signals,1780
15m,DEVELOPMENT,ignored_position_open,1780
15m,DEVELOPMENT,ignored_no_next_candle,0
15m,DEVELOPMENT,ignored_insufficient_cash,0
15m,DEVELOPMENT,tp_count,116
15m,DEVELOPMENT,sl_count,254
15m,DEVELOPMENT,win_count,116
15m,DEVELOPMENT,loss_count,254
15m,DEVELOPMENT,scratch_count,0
15m,DEVELOPMENT,win_rate,0.31351351351351353
15m,DEVELOPMENT,loss_rate,0.6864864864864865
15m,DEVELOPMENT,average_winning_trade,0.22404687498460205
15m,DEVELOPMENT,average_losing_trade,-0.15688318605483792
15m,DEVELOPMENT,median_winning_trade,0.22033406225359164
15m,DEVELOPMENT,median_losing_trade,-0.15035464942811477
15m,DEVELOPMENT,profit_factor,0.6522089628900208
15m,DEVELOPMENT,average_net_pnl_per_closed_trade,-0.03745646421544593
15m,DEVELOPMENT,average_R_per_closed_trade,-0.3093202999999948
15m,DEVELOPMENT,expectancy_per_trade,-0.03745646421544593
15m,DEVELOPMENT,expectancy_R,-0.3093202999999948
15m,DEVELOPMENT,median_R,-1.2484504999999912
15m,DEVELOPMENT,total_R,-114.44851099999806
15m,DEVELOPMENT,average_holding_time,0 days 07:58:15.405405405
15m,DEVELOPMENT,median_holding_time,0 days 04:00:00
15m,DEVELOPMENT,max_holding_time,3 days 05:15:00
15m,DEVELOPMENT,average_holding_candles,95.65135135
15m,DEVELOPMENT,median_holding_candles,48.0
15m,DEVELOPMENT,max_holding_candles,927.0
15m,DEVELOPMENT,max_consecutive_wins,8
15m,DEVELOPMENT,max_consecutive_losses,12
15m,DEVELOPMENT,max_drawdown,15.075302148737133
15m,DEVELOPMENT,max_drawdown_pct,0.7109245744000103
15m,DEVELOPMENT,max_drawdown_peak_timestamp,2024-01-02 09:15:00+00:00
15m,DEVELOPMENT,max_drawdown_trough_timestamp,2024-08-22 15:30:00+00:00
