timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,1,CLOSED,BTCUSDT,LONG,2024-01-01 07:20:00+00:00,2024-01-01 07:25:00+00:00,42454.64,42475.86732,2024-01-01 19:30:00+00:00,43325.3846664,43303.7219740668,0.0004703852149621034,19.980019980019982,0.19980019980019983,42051.1086468,43325.3846664,TP,0.4095854170816698,0.019980019980019983,0.020369430569430573,0.009985017481268484,0.010189810189810444,0.020174827671078928,0.3490611388611403,1.747051000000007,0 days 12:05:00
5m,DEVELOPMENT,2,CLOSED,BTCUSDT,LONG,2024-01-02 00:00:00+00:00,2024-01-02 00:05:00+00:00,44264.63,44286.76231499999,2024-01-02 00:55:00+00:00,45172.49756129999,45149.91131251935,0.00045902503014019877,20.32873240645469,0.20328732406454691,43843.89469184999,45172.49756129999,TP,0.4167339346890386,0.02032873240645469,0.020724939401056495,0.01015928655994521,0.010367653527289316,0.020526940087234526,0.35515332279429285,1.7470510000000103,0 days 00:50:00
5m,DEVELOPMENT,3,CLOSED,BTCUSDT,LONG,2024-01-02 00:55:00+00:00,2024-01-02 01:00:00+00:00,45056.0,45078.528,2024-01-02 21:00:00+00:00,44627.742719999995,44605.42884864,0.0004588333259401176,20.683530930724714,0.20683530930724714,44627.742719999995,45980.09856,SL,-0.1964987121404706,0.020683530930724715,0.02046645727360676,0.010336597166778247,0.010238347810707956,0.0205749449774862,-0.2582236453222883,-1.2484505000000046,0 days 20:00:00
5m,DEVELOPMENT,4,CLOSED,BTCUSDT,LONG,2024-01-03 00:45:00+00:00,2024-01-03 00:50:00+00:00,45186.24,45208.833119999996,2024-01-03 11:10:00+00:00,44756.744788799995,44734.366416405595,0.00045180474348598,20.425565251082077,0.20425565251082078,44756.744788799995,46113.0097824,SL,-0.19404797372467408,0.02042556525108208,0.02021119894377197,0.010207678786146937,0.010110654799285527,0.020318333585432464,-0.2550030715049606,-1.2484505000000006,0 days 10:20:00
5m,DEVELOPMENT,5,CLOSED,BTCUSDT,LONG,2024-01-04 00:00:00+00:00,2024-01-04 00:05:00+00:00,42821.08,42842.49054,2024-01-04 14:50:00+00:00,43699.3403508,43677.4906806246,0.0004708133601399238,20.170816927900297,0.20170816927900298,42414.065634599996,43699.3403508,TP,0.41349670683781414,0.0201708169279003,0.020563946149825076,0.01008036827980889,0.010287116633227964,0.020367484913036853,0.3523944588470519,1.7470510000000024,0 days 14:45:00
5m,DEVELOPMENT,6,CLOSED,BTCUSDT,LONG,2024-01-05 00:00:00+00:00,2024-01-05 00:05:00+00:00,44195.0,44217.097499999996,2024-01-05 01:45:00+00:00,43774.926524999995,43753.039061737494,0.0004641385460529363,20.52285934433092,0.2052285934433092,43774.926524999995,45101.43945,SL,-0.19497229192190665,0.020522859344330922,0.02030747193551217,0.010256301521403003,0.010158815375444325,0.02041511689684733,-0.2562177400985971,-1.2484505000000048,0 days 01:40:00
5m,DEVELOPMENT,7,CLOSED,BTCUSDT,LONG,2024-01-05 06:45:00+00:00,2024-01-05 06:50:00+00:00,43767.34,43789.22366999999,2024-01-05 14:40:00+00:00,43351.331433299994,43329.65576758335,0.00046282842826226,20.26689756601065,0.2026689756601065,43351.331433299994,44665.008143399995,SL,-0.19254059106939753,0.020266897566010647,0.020054196476055372,0.010128384590707943,0.010032114295174314,0.020160498885882255,-0.25302218399734583,-1.2484504999999904,0 days 07:50:00
5m,DEVELOPMENT,8,CLOSED,BTCUSDT,LONG,2024-01-06 00:00:00+00:00,2024-01-06 00:05:00+00:00,44136.8,44158.8684,2024-01-06 05:25:00+00:00,43717.279716,43695.421076141996,0.0004532300957111457,20.014128151427887,0.20014128151427887,43717.279716,45042.045768,SL,-0.19013921847008958,0.020014128151427887,0.01980407987647865,0.010002063044190249,0.009906993434957245,0.019909056479147494,-0.24986648297714362,-1.248450500000007,0 days 05:20:00
5m,DEVELOPMENT,9,CLOSED,BTCUSDT,LONG,2024-01-07 00:00:00+00:00,2024-01-07 00:05:00+00:00,43969.74,43991.72487,2024-01-08 02:15:00+00:00,43551.807621299995,43530.03171748935,0.00044927793451434307,19.764511285316857,0.19764511285316858,43551.807621299995,44871.5593674,SL,-0.18776779586900358,0.01976451128531686,0.01955708273937746,0.009877316984166449,0.009783433086229644,0.019660750070396093,-0.246750139964094,-1.2484504999999964,1 days 02:10:00
5m,DEVELOPMENT,10,CLOSED,BTCUSDT,LONG,2024-01-08 06:20:00+00:00,2024-01-08 06:25:00+00:00,44049.74,44071.76487,2024-01-08 12:00:00+00:00,44953.2001674,44930.7235673163,0.00044286875523505875,19.51800764898909,0.1951800764898909,43631.047221299996,44953.2001674,TP,0.40011427974089603,0.019518007648989092,0.01989841361806789,0.009754126761114475,0.009954183900983161,0.019708310662097637,0.3409895478117414,1.747051000000005,0 days 05:35:00
