timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,40,15,25,0.375,1.3085280248833828,1.5760865844701906,0.7880436193670229,-1.0556021789538306,-1.0556021789538306,18.944397821046163,18.94439782104617,18.944397821046163,3.166412211658674,0.1500560655575734
5m,DEVELOPMENT,2024-02,43,17,26,0.3953488372093023,1.871619099720871,1.6475677798435922,0.8237843578264836,-0.5997330379492045,-1.655335216903035,-1.7763568394002505e-13,18.34466478309696,18.32184341293236,1.9011480588726286,0.0946300261664175
5m,DEVELOPMENT,2024-03,50,19,31,0.38,1.6857500363707567,1.8396877543045724,0.9198442985897028,-1.0737820165235183,-2.729117233426553,-3.126388037344441e-13,17.270882766573436,17.32570923193264,3.0615874979778006,0.15351876296304331
5m,DEVELOPMENT,2024-04,40,10,30,0.25,-1.344561252234793,1.223577211701219,0.6117882697102331,-3.179926733646245,-5.909043967072798,-3.8546943414985435e-13,14.090956032927194,14.12749564659595,3.5784924115027223,0.20667742171821735
5m,DEVELOPMENT,2024-05,41,15,26,0.36585365853658536,0.7922374514728461,1.1349510589726466,0.567475727545626,-0.9101893350454264,-6.819233302118224,-4.636291350834654e-13,13.180766697881763,13.100066630219239,1.5562095384281474,0.10660480138637249
5m,DEVELOPMENT,2024-06,18,5,13,0.2777777777777778,-0.2888268485359033,0.4557668003087181,0.22788332794762353,-0.972476976792245,-7.791710278910469,-4.867217739956686e-13,12.208289721089514,12.265816808574165,1.5702001445807525,0.11648930097066833
5m,DEVELOPMENT,2024-07,40,15,25,0.375,0.7984488688095687,0.961869020494337,0.4809347098593358,-0.644354861544104,-8.436065140454573,11.5639348595454,11.563934859545412,11.5639348595454,1.156704610438414,0.09093132567492582
5m,DEVELOPMENT,2024-08,51,16,35,0.3137254901960784,-0.10779115964817716,1.0839245922545087,0.5419622691794036,-1.7336780210820892,-10.169743161536662,-6.004086117172847e-13,9.83025683846332,9.826277327977312,2.151757518222224,0.18032919406357154
5m,VALIDATION,2024-09,36,13,23,0.3611111111111111,0.8813057665174243,1.410735934870309,0.7053681877615222,-1.2347983561144067,-1.2347983561144067,18.76520164388557,18.765201643885593,18.76520164388557,1.6788573220856513,0.08211956954732325
5m,VALIDATION,2024-10,25,9,16,0.36,0.5555903770062969,0.9218858909465991,0.46094308437084086,-0.8272385983111431,-2.0620369544255497,-1.5631940186722204e-13,17.93796304557445,17.85914016358302,1.2963286551011173,0.06817520593233932
5m,VALIDATION,2024-11,40,13,27,0.325,0.14117587188872424,1.3818181979840842,0.6909091342859403,-1.9315514603813002,-3.99358841480685,-2.3447910280083306e-13,16.006411585193153,15.938782136545733,2.788968777258088,0.14951318540511374
5m,VALIDATION,2024-12,36,10,26,0.2777777777777778,-0.6937854892761841,1.053993389325354,0.5269965212162412,-2.2747753998177798,-6.26836381462463,13.731636185375303,13.731636185375375,13.731636185375303,2.445499379778223,0.15301096217334453
15m,DEVELOPMENT,2024-01,36,11,25,0.3055555555555556,-0.22906383257827476,1.3955580654830704,0.6977789754755062,-2.3224008735368513,-2.3224008735368513,-7.815970093361102e-14,17.677599126463146,17.643182899584698,3.2721173721942627,0.15731253514431565
15m,DEVELOPMENT,2024-02,38,17,21,0.4473684210526316,2.663830423087473,1.4098978227598769,0.7049495773374614,0.5489830229901347,-1.7734178505467166,18.226582149453293,18.226582149453293,18.226582149453293,1.955194945350783,0.10004955695102073
15m,DEVELOPMENT,2024-03,44,16,28,0.36363636363636365,1.0224920150131893,1.5548382558242928,0.7774193835350625,-1.3097656243461657,-3.0831834748928824,-2.5579538487363607e-13,16.916816525107123,17.21416641284255,2.3879158115452093,0.12693568975653874
15m,DEVELOPMENT,2024-04,27,8,19,0.2962962962962963,-0.31783827936387504,0.861735319667744,0.43086758037424516,-1.6104411794058642,-4.6936246542987465,15.306375345701271,15.306375345701255,15.306375345701271,2.2632039669469872,0.1317082833374463
15m,DEVELOPMENT,2024-05,32,10,22,0.3125,-0.05923131544914137,0.9600170310854607,0.4800085007348535,-1.4992568472694554,-6.192881501568202,13.80711849843182,13.8071184984318,13.80711849843182,2.245091129824633,0.13986181228736477
15m,DEVELOPMENT,2024-06,19,4,15,0.21052631578947367,-0.7941633211541685,0.5036419773769226,0.25182079014760517,-1.5496260886786963,-7.742507590246898,-3.943512183468556e-13,12.257492409753104,12.337795353214062,2.1453924855763002,0.15194331253308466
15m,DEVELOPMENT,2024-07,36,15,21,0.4166666666666667,1.3129876761555528,0.908126691048145,0.4540636737709438,-0.049202688663536054,-7.791710278910434,12.208289721089594,12.20828972108957,12.208289721089594,1.1154294312953983,0.08371757303933658
15m,DEVELOPMENT,2024-08,43,14,29,0.32558139534883723,0.08627306504108975,0.9903195254423138,0.49515978428936847,-1.3992062446905926,-9.190916523601027,-5.044853423896711e-13,10.80908347639898,10.758953905120396,1.5775829385143556,0.12813468601057115
