timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,DEVELOPMENT,2024-01,85,25,60,0.29411764705882354,-0.9401620460448243,3.0290741996102772,1.5145368647644748,-5.483773110419576,-5.483773110419576,-1.4921397450962104e-13,14.51622688958042,14.526163930758338,7.023443169225706,0.33311454587083816
5m,DEVELOPMENT,2024-02,69,29,40,0.42028985507246375,3.1053012550099273,2.0725798789577055,1.0362907158040549,-0.0035693397518331282,-5.487342450171409,-2.504663143554353e-13,14.51265754982858,14.46485725842226,1.4288111332030642,0.08989813414981855
5m,DEVELOPMENT,2024-03,123,45,78,0.36585365853658536,2.3118912478075404,3.2976210265074317,1.648811091226346,-2.634540869926237,-8.121883320097647,-4.405364961712621e-13,11.87811667990234,11.958975088997084,4.506746194491205,0.2874981494598623
5m,DEVELOPMENT,2024-04,106,26,80,0.24528301886792453,-2.116762314693744,1.957872276134377,0.978935608876509,-5.05357019970463,-13.175453519802277,-5.426770144367765e-13,6.824546480197706,6.907428194216231,5.15114538412448,0.4310164070594692
5m,DEVELOPMENT,2024-05,63,21,42,0.3333333333333333,0.19194150993023412,0.8152386331991606,0.4076193645849139,-1.0309164878538404,-14.206370007656117,-5.81756864903582e-13,5.793629992343865,5.815951430225619,1.2868558702967547,0.181838814792962
5m,DEVELOPMENT,2024-06,53,15,38,0.2830188679245283,-0.28023342934294787,0.5678013827626297,0.2839006213229292,-1.1319354334285068,-15.338305441084625,-6.110667527536862e-13,4.661694558915359,4.645239420654371,1.655034623340475,0.2699289095667095
5m,DEVELOPMENT,2024-07,89,26,63,0.29213483146067415,-0.3104040274438312,0.6906231265220509,0.3453114856599816,-1.3463386396258636,-16.684644080710488,-6.559197629485425e-13,3.3153559192894964,3.310900982395353,1.4153359268229107,0.2995681281335778
5m,DEVELOPMENT,2024-08,104,33,71,0.3173076923076923,-0.04341567962058223,0.576492666896754,0.2882463225944265,-0.9081546691117628,-17.59279874982225,-6.887823644774471e-13,2.4072012501777356,2.3953085138115755,1.0268600944058583,0.30534426230534645
5m,VALIDATION,2024-09,59,20,39,0.3389830508474576,0.554104919823937,2.1508449458135903,1.075422611432906,-2.6721626374225593,-2.6721626374225593,-1.2434497875801753e-13,17.32783736257744,17.397777481339315,2.8401534183074872,0.14193042972286893
5m,VALIDATION,2024-10,55,18,37,0.32727272727272727,0.12716721662157918,1.7228754365769787,0.8614377500801993,-2.4571459700355986,-5.129308607458158,-2.2382096176443156e-13,14.870691392541838,14.844415785573284,3.2745145300191485,0.18589430106428378
5m,VALIDATION,2024-11,98,39,59,0.3979591836734694,3.328082419418294,2.84893319781568,1.4244674309282765,-0.9453182093256618,-6.07462681678382,-3.7836400679225335e-13,13.925373183216172,13.918510558932223,2.945684335544211,0.18177140081009246
5m,VALIDATION,2024-12,86,25,61,0.29069767441860467,-0.8256262144531612,2.0790737315803005,1.0395366593834794,-3.944236605416941,-10.018863422200761,-5.169198402654729e-13,9.981136577799226,9.908482374492962,4.499789566934918,0.3145889119707281
15m,DEVELOPMENT,2024-01,69,23,46,0.3333333333333333,0.5852767313271943,2.579492831590193,1.2897465621141262,-3.283962662377125,-3.283962662377125,-1.4921397450962104e-13,16.71603733762288,16.683493159569924,5.099866631890286,0.24350820922655697
15m,DEVELOPMENT,2024-02,44,22,22,0.5,4.179089042912925,1.5579289573121065,0.7789655234282211,1.842194562172597,-1.441768100204528,18.558231899795484,18.558231899795476,18.558231899795484,0.9554699859713214,0.05661501602828421
15m,DEVELOPMENT,2024-03,93,31,62,0.3333333333333333,0.7075908758106588,3.1286271937001233,1.5643137737475978,-3.985350091637062,-5.42711819184159,-4.671818487622659e-13,14.572881808158415,14.817126344981498,5.677767563595692,0.28926454518579586
15m,DEVELOPMENT,2024-04,80,16,64,0.2,-3.2920568099176823,1.7814197576411486,0.8907090558062788,-5.964185623365109,-11.3913038152067,8.608696184793281,8.60869618479331,8.608696184793281,6.181999220928185,0.41796542024229705
15m,DEVELOPMENT,2024-05,65,24,41,0.36923076923076925,0.8443829777915002,1.1054821664353998,0.5527412943133856,-0.8138404829572851,-12.205144298163985,-6.501466032204917e-13,7.794855701836022,7.822556208391767,1.3383806403067808,0.14665422495936947
15m,DEVELOPMENT,2024-06,38,10,28,0.2631578947368421,-0.47695910783982154,0.5310543010028491,0.2655270312616225,-1.2735404401042931,-13.478684738268278,6.521315261731714,6.521315261731732,6.521315261731714,1.6730230608369077,0.21012636165233667
15m,DEVELOPMENT,2024-07,69,20,49,0.2898550724637681,-0.37614055127766616,0.7743799582120114,0.38718988507082425,-1.5377103945605017,-15.01639513282878,4.983604867171214,4.983604867171232,4.983604867171214,1.6239605058352184,0.24577290032869079
15m,DEVELOPMENT,2024-08,69,19,50,0.2753623188405797,-0.42171221987704344,0.5769493890684771,0.28847458910615276,-1.2871361980516733,-16.303531330880453,-7.545075675352564e-13,3.6964686691195583,3.678952961866991,1.3130723135349167,0.2634784154306842
15m,VALIDATION,2024-09,55,18,37,0.32727272727272727,0.17746528345548004,2.0090219419201008,1.0045110153262362,-2.836067673790857,-2.836067673790857,-1.1368683772161603e-13,17.16393232620914,17.233210877259545,2.8782887978286666,0.14391443989143332
15m,VALIDATION,2024-10,52,20,32,0.38461538461538464,1.68159489266095,1.7395277222972185,0.8697642815472355,-0.9276971111835037,-3.7637647849743603,-2.1316282072803006e-13,16.23623521502564,16.207546775201465,1.5159341475574077,0.08689062888240451
15m,VALIDATION,2024-11,69,24,45,0.34782608695652173,0.931217436535035,2.123970826028492,1.0619856458184955,-2.2547390353119527,-6.018503820286313,-3.2152058793144533e-13,13.981496179713679,13.966631470769805,3.5322911551514,0.20542937022258254
15m,VALIDATION,2024-12,66,21,45,0.3181818181818182,0.042567033914294436,1.7288036484771205,0.8644018348802248,-2.5506384494430505,-8.569142269729364,-4.227729277772596e-13,11.43085773027063,11.415194068148883,3.4605470112605055,0.23746483755348635
1h,DEVELOPMENT,2024-01,32,6,26,0.1875,-2.2968109911905032,1.1285608494941255,0.5642798505442541,-3.989651691228883,-3.989651691228883,16.010348308771114,16.010348308771114,16.010348308771114,4.975898262091846,0.24285858045069186
1h,DEVELOPMENT,2024-02,26,13,13,0.5,2.3242097215954898,0.869304094095203,0.43465262809998323,1.0202529994003031,-2.9693986918285797,17.03060130817142,17.030601308171413,17.03060130817142,0.8415175215830359,0.04896255821289404
1h,DEVELOPMENT,2024-03,32,12,20,0.375,0.8182006438566856,1.0274533308108842,0.5137268699555559,-0.7229795569097546,-3.6923782487383345,16.307621751261678,16.307621751261653,16.307621751261678,2.4602126956618893,0.14276204706650214
1h,DEVELOPMENT,2024-04,32,9,23,0.28125,-0.5757536123154425,0.9694873128302016,0.48474351247665265,-2.029984437622297,-5.722362686360631,14.27763731363938,14.277637313639353,14.27763731363938,2.3932975441363826,0.14548098407579724
1h,DEVELOPMENT,2024-05,31,11,20,0.3548387096774194,0.4718437331287054,0.8749812004197097,0.43749071817074514,-0.8406281854617496,-6.562990871822381,13.43700912817762,13.437009128177602,13.43700912817762,1.6590300756335168,0.10989836825640192
1h,DEVELOPMENT,2024-06,19,6,13,0.3157894736842105,-0.026607114050883687,0.4983741377445093,0.24918706222044928,-0.7741683140158422,-7.337159185838223,12.662840814161775,12.66284081416176,12.662840814161775,1.7142823599291752,0.12146923890551954
1h,DEVELOPMENT,2024-07,40,15,25,0.375,0.8052441411062657,0.982393371702686,0.4911968871623122,-0.6683461177587324,-8.005505303596955,11.99449469640304,11.99449469640303,11.99449469640304,1.3072860592721671,0.09950603952903805
1h,DEVELOPMENT,2024-08,34,7,27,0.20588235294117646,-1.2618956107321329,0.7233738500300373,0.3616866095410742,-2.346956070303244,-10.3524613739002,-3.9612757518625585e-13,9.647538626099792,9.631284461833214,2.443180990934323,0.20394105041677035
1h,VALIDATION,2024-09,30,8,22,0.26666666666666666,-0.884780530260193,1.1252311170974167,0.562615337353507,-2.5726269847111167,-2.5726269847111167,17.427373015288886,17.427373015288875,17.427373015288886,2.572626984711114,0.1286313492355557
1h,VALIDATION,2024-10,31,9,22,0.2903225806451613,-0.4632329214300114,1.0089582644244481,0.5044790164039334,-1.976670202258393,-4.549297186969509,15.4507028130305,15.450702813030484,15.4507028130305,2.0913210633789667,0.11921777544673039
1h,VALIDATION,2024-11,45,15,30,0.3333333333333333,0.3446491236531595,1.3668733114003355,0.6834367418623839,-1.70566092960956,-6.254958116579069,-1.6697754290362354e-13,13.745041883420924,13.716671469780863,2.6128289482754994,0.16000666777205022
1h,VALIDATION,2024-12,30,10,20,0.3333333333333333,0.15045652007068244,0.7877485999882704,0.39387433760822066,-1.0311664175258086,-7.286124534104878,12.713875465895132,12.713875465895116,12.713875465895132,2.0161174854915256,0.14381905662624614
