strategy_id,family,timeframe,group,robustness_score,definition,gate_failures,flags,val_dev_avg_R_ratio,val_dev_pf_ratio,val_dev_win_rate_ratio,val_dev_trade_count_ratio,val_dev_dd_pct_ratio,beat_BASELINE_A_val_avg_R,beat_BASELINE_A_val_net,beat_RANDOM_val_avg_R,beat_RANDOM_val_net,monthly_consistency_dev,monthly_consistency_val,dev_range12_median,dev_range12_q1,dev_range12_q3,dev_range24_median,dev_closed_trades,dev_wins,dev_losses,dev_win_rate,dev_gross_pnl,dev_fees,dev_slippage,dev_net_pnl,dev_avg_net_pnl,dev_avg_R,dev_profit_factor,dev_max_drawdown,dev_max_drawdown_pct,dev_final_equity,dev_median_holding_time,dev_average_holding_time,dev_longest_winning_streak,dev_longest_losing_streak,dev_signals,dev_filled_trades,dev_tp_count,dev_sl_count,dev_months_with_trades,dev_largest_win_net_pnl,dev_sum_of_winning_net_pnl,dev_max_month_share_of_net,val_closed_trades,val_wins,val_losses,val_win_rate,val_gross_pnl,val_fees,val_slippage,val_net_pnl,val_avg_net_pnl,val_avg_R,val_profit_factor,val_max_drawdown,val_max_drawdown_pct,val_final_equity,val_median_holding_time,val_average_holding_time,val_longest_winning_streak,val_longest_losing_streak,val_signals,val_filled_trades,val_tp_count,val_sl_count,val_months_with_trades,val_largest_win_net_pnl,val_sum_of_winning_net_pnl,val_max_month_share_of_net
A01,TREND FOLLOWING,5m,GROUP 3,,EMA20>EMA50; prior close above EMA20; current low touches EMA20; bullish close (close>open) resumes above previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.872707015283811,1.0471872396319808,1.0324675324675325,0.5283018867924528,0.600529331909888,True,True,True,True,1/8 months with trades were net-positive,0/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,265,88,177,0.3320754716981132,2.229611118740474,8.19072946640877,4.095365290606718,-10.056483638275015,-0.03794899486141516,-0.2537179264150888,0.7043737268439589,11.200307163890477,0.5318622137901874,9.943516361724981,0 days 05:40:00,0 days 10:49:50.943396226,5,14,803,266,88,177,8,0.3568450419746817,23.961073498694606,,140,48,92,0.34285714285714286,2.206011777517646,5.161851070333203,2.580926086669279,-5.536765379484836,-0.0395483241391774,-0.22142141428570972,0.7376111786830162,6.74750141554736,0.31939885991553524,14.463234620515165,0 days 06:20:00,0 days 10:22:53.571428571,6,9,390,140,48,92,4,0.3608676858746531,15.564611392950301,
A01,TREND FOLLOWING,15m,GROUP 3,,EMA20>EMA50; prior close above EMA20; current low touches EMA20; bullish close (close>open) resumes above previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,1.9582540303611182,0.7916619809275645,0.84,0.5,0.9612741968707358,False,False,False,True,2/8 months with trades were net-positive,1/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,140,50,90,0.35714285714285715,2.5629681613523707,4.80659467929559,2.403297980389571,-4.64692449833279,-0.033192317845234215,-0.17862853571428045,0.7609017290510012,5.132114671407601,0.2512377573365734,15.353075501667211,0 days 06:52:30,0 days 12:38:08.571428571,4,9,305,140,50,90,8,0.3490611388611375,14.788282957952037,,70,21,49,0.3,-0.6057898260117394,2.562272450117967,1.2811360736113981,-4.4491983497411045,-0.06355997642487292,-0.34980004999999464,0.6023769701117245,4.951470365737761,0.2415083734073194,15.550801650258894,0 days 05:37:30,0 days 10:32:08.571428571,3,7,129,70,21,49,4,0.34906113886113993,6.740290224377063,
A01,TREND FOLLOWING,1h,GROUP 3,,EMA20>EMA50; prior close above EMA20; current low touches EMA20; bullish close (close>open) resumes above previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,1.0175090791588013,0.9942765205297797,0.9973544973544973,0.6206896551724138,0.5904287315174347,True,True,True,True,3/8 months with trades were net-positive,1/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,58,21,37,0.3620689655172414,1.4513690876463252,2.248647339495313,1.1243240325898067,-1.9216022844387943,-0.03313107386963438,-0.16387237068965016,0.7861606050669447,4.056660458785821,0.188625160896383,18.078397715561206,0 days 04:30:00,0 days 09:09:18.620689655,4,12,76,58,21,37,8,0.368914869565226,7.064591700258794,,36,13,23,0.3611111111111111,0.8835530543068313,1.412234126355367,0.7061172840658805,-1.2347983561144162,-0.03429995433651156,-0.16674162499999567,0.7816610309835481,2.2879106104834683,0.11136971448032344,18.765201643885582,0 days 06:00:00,0 days 08:40:00,3,8,48,36,13,23,4,0.352394458847052,4.420620654412167,
A02,TREND FOLLOWING,5m,GROUP 3,,EMA20>EMA50; close > previous 20-bar high; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,,0.6784116781444858,1.0777178458608345,1.0833333333333333,0.46153846153846156,0.456478324376803,True,True,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,429,142,287,0.331002331002331,4.352612513634153,11.992204302260522,5.996103239282778,-13.635695027909147,-0.03178483689489312,-0.2569325209790153,0.7236844030221301,15.097031260280504,0.7049482734070986,6.3643049720908405,0 days 04:10:00,0 days 08:33:00.419580420,5,11,2633,430,142,287,8,0.36480252255342194,35.71256897544796,,198,71,127,0.35858585858585856,4.28951150271652,6.941040117686733,3.4705211312208624,-6.122049746191075,-0.03091944316258119,-0.17430602272726708,0.7799275959080941,6.52971636404761,0.3217936066171928,13.877950253808926,0 days 05:32:30,0 days 09:40:21.212121212,3,7,1420,198,71,127,4,0.34634959956366396,21.696293818749513,
A02,TREND FOLLOWING,15m,GROUP 3,,EMA20>EMA50; close > previous 20-bar high; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.6647414749765781,1.1094205555309262,1.0919540229885056,0.5263157894736842,0.47807037719234996,False,False,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,266,87,179,0.32706766917293234,1.7094588948567748,8.11917787187423,4.059589363301381,-10.469308340318836,-0.03935830203127382,-0.26871880639097157,0.6914519268950297,11.656516181264971,0.5501676421344073,9.53069165968117,0 days 04:15:00,0 days 08:41:16.691729323,7,11,769,266,87,179,8,0.36196870272761683,23.461573920472652,,140,50,90,0.35714285714285715,2.7766796882194504,4.949068994921728,2.474535191630513,-4.64692449833279,-0.033192317845234215,-0.17862853571427997,0.7671109808588132,5.352186703973302,0.2630188521942219,15.35307550166721,0 days 05:15:00,0 days 09:14:34.285714286,4,8,475,140,50,90,4,0.3490611388611413,15.306461519904659,
A02,TREND FOLLOWING,1h,GROUP 3,,EMA20>EMA50; close > previous 20-bar high; volume > volume_ma20.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.944717614072454,1.0153782855692042,1.0126865671641792,0.5677966101694916,0.6339371704626288,True,False,True,True,0/8 months with trades were net-positive,0/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,118,40,78,0.3389830508474576,1.4283134514092894,4.277077140756315,2.138538927456277,-4.987302616803303,-0.042265276413587315,-0.23302626271185892,0.717472568273108,5.44672900372303,0.2662210025206415,15.012697383196699,0 days 03:00:00,0 days 06:00:00,3,8,179,118,40,78,8,0.3507238388440528,12.665151823883829,,67,23,44,0.34328358208955223,0.9884226040327913,2.564991126621559,1.2824958104162858,-2.859064333005054,-0.04267260198515006,-0.22014401492536823,0.7285060663160822,3.480170195925435,0.16876738905565986,17.140935666994945,0 days 03:00:00,0 days 09:26:51.940298507,4,9,115,67,23,44,4,0.3537277050753409,7.671794659718044,
A03,TREND FOLLOWING,5m,GROUP 3,,EMA20>EMA50; previous 6-bar return > 0; current candle closes bullish.,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,,0.791016872325049,1.0276526663632015,1.0458435681965095,0.431640625,0.48028063060549714,True,True,True,True,1/8 months with trades were net-positive,0/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,512,175,337,0.341796875,6.925226851547728,13.940518359076641,6.970260910844289,-13.985552418373203,-0.02731553206713517,-0.22459744824218197,0.7528240349034867,15.398046689359798,0.7196030533235206,6.014447581626788,0 days 04:05:00,0 days 08:17:25.898437500,5,9,12431,513,175,337,8,0.3654252820392323,42.59580820425995,,221,79,142,0.3574660633484163,4.40851921249925,7.470166894269747,3.7350845492642373,-6.796732231034734,-0.03075444448432006,-0.17766037104071786,0.773641626770872,6.925551753449964,0.3456114082358617,13.20326776896527,0 days 05:25:00,0 days 10:03:58.914027149,5,8,6418,221,79,142,4,0.34040843181922503,23.229690622582602,
A03,TREND FOLLOWING,15m,GROUP 3,,EMA20>EMA50; previous 6-bar return > 0; current candle closes bullish.,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,,0.7776984140119467,1.0758174581471533,1.0621621621621622,0.4707379134860051,0.5315074358837564,False,False,True,True,1/8 months with trades were net-positive,1/4 months with trades were net-positive,0.011157016537118652,0.007415814049580036,0.016934187061480453,0.016436581541667633,393,128,265,0.3256997455470738,2.266869705931362,10.455519541816772,5.227760337625233,-13.416410173510643,-0.03413844827865303,-0.2728164236641167,0.6927574111087902,14.672667845909938,0.6919370531183724,6.5835898264893515,0 days 04:00:00,0 days 08:28:07.786259542,6,12,4248,394,128,265,8,0.3613518339605379,30.250746199335836,,185,64,121,0.34594594594594597,3.0059616225291808,6.499653589645421,3.249827546312757,-6.743519513428997,-0.03645145682934593,-0.2121688999999949,0.7452805171316612,7.532414754874829,0.3677696888959086,13.256480486571009,0 days 05:15:00,0 days 09:16:42.162162162,4,8,2238,186,64,121,4,0.3475331253949225,19.73077855553589,
A03,TREND FOLLOWING,1h,GROUP 3,,EMA20>EMA50; previous 6-bar return > 0; current candle closes bullish.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,0.566408649553112,1.2178697178842235,1.1219248445525818,0.5502008032128514,0.5124021826140203,True,False,True,True,0/8 months with trades were net-positive,0/4 months with trades were net-positive,0.02429507870376951,0.016989257279350706,0.03672959536504762,0.03709822949607159,249,81,168,0.3253012048192771,0.4341415254123,7.047644739603003,3.5238224783364913,-10.137325692527195,-0.04071215137561122,-0.27401025301204307,0.6608926537593675,10.218164001598412,0.5109082000799205,9.862674307472808,0 days 04:00:00,0 days 08:35:39.759036145,4,9,1037,249,81,168,8,0.32528325627003585,19.75682377049768,,137,50,87,0.36496350364963503,3.815737682941399,5.249050889867761,2.624526398868015,-4.057839605794378,-0.0296192671955794,-0.15520177737225785,0.8048811497856766,5.653551790438643,0.26179047683635187,15.942160394205622,0 days 03:00:00,0 days 09:38:58.686131387,4,9,649,137,50,87,4,0.370445783137063,16.73891888953883,
A04,TREND FOLLOWING,5m,GROUP 3,,EMA20>EMA50; close crosses back above EMA20 after prior close <= EMA20; close > previous candle high.,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,,1.5157442694116934,0.878831887613448,0.9146146466261591,0.4818181818181818,0.7444446366911858,True,True,False,True,1/8 months with trades were net-positive,0/4 months with trades were net-positive,0.006099392361111061,0.0040128827100909875,0.009486593678125713,0.00886083835177556,330,118,212,0.3575757575757576,6.464075026379758,10.462966050723939,5.231484641380165,-9.230375665724345,-0.027970835350679835,-0.17733178181817708,0.7798851659823387,10.147008629873307,0.48605703117849325,10.769624334275651,0 days 04:45:00,0 days 09:58:23.636363636,6,12,1594,331,118,212,8,0.35515332279429246,32.703988762362,,159,52,107,0.3270440251572327,0.984641732309604,5.429780929197385,2.7148907107588403,-7.160029907646621,-0.04503163463928694,-0.26878963207546663,0.6853879525419859,7.242710368093633,0.36184254998686977,12.83997009235338,0 days 05:45:00,0 days 10:51:06.037735849,6,7,795,159,52,107,4,0.34040843181922675,15.598252763019863,
