rank,group,strategy_id,family,timeframe,robustness_score,dev_net_pnl,val_net_pnl,dev_avg_R,val_avg_R,val_profit_factor,val_max_drawdown_pct,dev_closed_trades,val_closed_trades,val_dev_avg_R_ratio,val_dev_pf_ratio,flags,gate_failures,beat_BASELINE_A,beat_RANDOM
1,GROUP 3,A01,TREND FOLLOWING,15m,,-4.64692449833279,-4.4491983497411045,-0.17862853571428045,-0.34980004999999464,0.6023769701117245,0.2415083734073194,140,70,1.9582540303611182,0.7916619809275645,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
2,GROUP 3,A01,TREND FOLLOWING,1h,,-1.9216022844387943,-1.2347983561144162,-0.16387237068965016,-0.16674162499999567,0.7816610309835481,0.11136971448032344,58,36,1.0175090791588013,0.9942765205297797,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
3,GROUP 3,A01,TREND FOLLOWING,5m,,-10.056483638275015,-5.536765379484836,-0.2537179264150888,-0.22142141428570972,0.7376111786830162,0.31939885991553524,265,140,0.872707015283811,1.0471872396319808,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
4,GROUP 3,A02,TREND FOLLOWING,15m,,-10.469308340318836,-4.64692449833279,-0.26871880639097157,-0.17862853571427997,0.7671109808588132,0.2630188521942219,266,140,0.6647414749765781,1.1094205555309262,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
5,GROUP 3,A02,TREND FOLLOWING,1h,,-4.987302616803303,-2.859064333005054,-0.23302626271185892,-0.22014401492536823,0.7285060663160822,0.16876738905565986,118,67,0.944717614072454,1.0153782855692042,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
6,GROUP 3,A02,TREND FOLLOWING,5m,,-13.635695027909147,-6.122049746191075,-0.2569325209790153,-0.17430602272726708,0.7799275959080941,0.3217936066171928,429,198,0.6784116781444858,1.0777178458608345,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
7,GROUP 3,A03,TREND FOLLOWING,15m,,-13.416410173510643,-6.743519513428997,-0.2728164236641167,-0.2121688999999949,0.7452805171316612,0.3677696888959086,393,185,0.7776984140119467,1.0758174581471533,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
8,GROUP 3,A03,TREND FOLLOWING,1h,,-10.137325692527195,-4.057839605794378,-0.27401025301204307,-0.15520177737225785,0.8048811497856766,0.26179047683635187,249,137,0.566408649553112,1.2178697178842235,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
9,GROUP 3,A03,TREND FOLLOWING,5m,,-13.985552418373203,-6.796732231034734,-0.22459744824218197,-0.17766037104071786,0.773641626770872,0.3456114082358617,512,221,0.791016872325049,1.0276526663632015,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
10,GROUP 3,A04,TREND FOLLOWING,15m,,-7.45235950020258,-2.0489397755556302,-0.2392708502673746,-0.09866204545453955,0.8630104671967024,0.1553929824590989,187,99,0.4123446100696724,1.2227525315485293,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
